"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHICLAYO (000)",213194,2092,63724,66682,31152,12725,5371,1385,192,,29871
"Catolica (001)",176453,1612,51088,55230,26446,10961,4658,1141,168,,25149
"Cristiana / Evangelica (002)",27171,336,9325,8514,3518,1331,547,192,21,,3387
"Otra (003)",6106,80,1954,1912,858,334,121,37,2,,808
"Ninguna (004)",3464,64,1357,1026,330,99,45,15,1,,527
,,,,,,,,,,,
"URBANA (006)",200358,1898,58661,62706,29900,12297,5199,1337,187,,28173
"Catolica (007)",165854,1477,46931,51942,25428,10604,4512,1106,165,,23689
"Cristiana / Evangelica (008)",25429,294,8644,7965,3331,1271,529,182,19,,3194
"Otra (009)",5866,69,1848,1847,834,326,115,37,2,,788
"Ninguna (010)",3209,58,1238,952,307,96,43,12,1,,502
,,,,,,,,,,,
"RURAL (012)",12836,194,5063,3976,1252,428,172,48,5,,1698
"Catolica (013)",10599,135,4157,3288,1018,357,146,35,3,,1460
"Cristiana / Evangelica (014)",1742,42,681,549,187,60,18,10,2,,193
"Otra (015)",240,11,106,65,24,8,6,,,,20
"Ninguna (016)",255,6,119,74,23,3,2,3,,,25
