"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LORETO (000)",56058,24355,5703,2058,24129
"Sin Nivel (001)",9312,4875,365,443,3650
"Educación Inicial (002)",1815,1385,138,29,276
"Primaria (003)",26574,12897,1362,620,11774
"Secundaria (004)",14560,4841,1910,600,7257
"Sup. no Univ. Incompleta (005)",1088,154,338,72,530
"Sup. no Univ. Completa (006)",1085,72,620,88,311
"Sup. Univ. Incompleta (007)",583,75,278,66,167
"Sup. Univ. Completa (008)",1041,56,692,140,164
"Hombres (010)",30140,11665,3515,1398,13669
"Sin Nivel (011)",4138,2222,168,224,1535
"Educación Inicial (012)",918,705,72,12,134
"Primaria (013)",13513,6032,655,359,6501
"Secundaria (014)",8988,2535,1251,505,4732
"Sup. no Univ. Incompleta (015)",712,68,250,57,341
"Sup. no Univ. Completa (016)",752,33,460,71,193
"Sup. Univ. Incompleta (017)",415,44,203,52,119
"Sup. Univ. Completa (018)",704,26,456,118,114
"Mujeres (020)",25918,12690,2188,660,10460
"Sin Nivel (021)",5174,2653,197,219,2115
"Educación Inicial (022)",897,680,66,17,142
"Primaria (023)",13061,6865,707,261,5273
"Secundaria (024)",5572,2306,659,95,2525
"Sup. no Univ. Incompleta (025)",376,86,88,15,189
"Sup. no Univ. Completa (026)",333,39,160,17,118
"Sup. Univ. Incompleta (027)",168,31,75,14,48
"Sup. Univ. Completa (028)",337,30,236,22,50
,,,,,
"URBANA (030)",24085,8533,4384,916,10342
"Sin Nivel (031)",2262,1252,245,46,721
"Educación Inicial (032)",756,548,107,11,94
"Primaria (033)",9702,4045,991,213,4483
"Secundaria (034)",8479,2443,1589,351,4130
"Sup. no Univ. Incompleta (035)",827,99,282,60,392
"Sup. no Univ. Completa (036)",870,59,490,72,253
"Sup. Univ. Incompleta (037)",423,48,193,51,133
"Sup. Univ. Completa (038)",766,39,487,112,136
"Hombres (040)",13077,4032,2747,657,5702
"Sin Nivel (041)",992,579,114,25,275
"Educación Inicial (042)",373,276,56,5,39
"Primaria (043)",4716,1889,478,109,2254
"Secundaria (044)",5042,1189,1038,277,2564
"Sup. no Univ. Incompleta (045)",527,35,211,47,238
"Sup. no Univ. Completa (046)",597,26,369,58,147
"Sup. Univ. Incompleta (047)",296,24,144,38,92
"Sup. Univ. Completa (048)",534,14,337,98,93
"Mujeres (050)",11008,4501,1637,259,4640
"Sin Nivel (051)",1270,673,131,21,446
"Educación Inicial (052)",383,272,51,6,55
"Primaria (053)",4986,2156,513,104,2229
"Secundaria (054)",3437,1254,551,74,1566
"Sup. no Univ. Incompleta (055)",300,64,71,13,154
"Sup. no Univ. Completa (056)",273,33,121,14,106
"Sup. Univ. Incompleta (057)",127,24,49,13,41
"Sup. Univ. Completa (058)",232,25,150,14,43
,,,,,
"RURAL (060)",31973,15822,1319,1142,13787
"Sin Nivel (061)",7050,3623,120,397,2929
"Educación Inicial (062)",1059,837,31,18,182
"Primaria (063)",16872,8852,371,407,7291
"Secundaria (064)",6081,2398,321,249,3127
"Sup. no Univ. Incompleta (065)",261,55,56,12,138
"Sup. no Univ. Completa (066)",215,13,130,16,58
"Sup. Univ. Incompleta (067)",160,27,85,15,34
"Sup. Univ. Completa (068)",275,17,205,28,28
"Hombres (070)",17063,7633,768,741,7967
"Sin Nivel (071)",3146,1643,54,199,1260
"Educación Inicial (072)",545,429,16,7,95
"Primaria (073)",8797,4143,177,250,4247
"Secundaria (074)",3946,1346,213,228,2168
"Sup. no Univ. Incompleta (075)",185,33,39,10,103
"Sup. no Univ. Completa (076)",155,7,91,13,46
"Sup. Univ. Incompleta (077)",119,20,59,14,27
"Sup. Univ. Completa (078)",170,12,119,20,21
"Mujeres (080)",14910,8189,551,401,5820
"Sin Nivel (081)",3904,1980,66,198,1669
"Educación Inicial (082)",514,408,15,11,87
"Primaria (083)",8075,4709,194,157,3044
"Secundaria (084)",2135,1052,108,21,959
"Sup. no Univ. Incompleta (085)",76,22,17,2,35
"Sup. no Univ. Completa (086)",60,6,39,3,12
"Sup. Univ. Incompleta (087)",41,7,26,1,7
"Sup. Univ. Completa (088)",105,5,86,8,7
