"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia CHANCHAMAYO",,,,
"Viviendas particulares (001)",19352,14758,3542,1052
"Ocupantes presentes (002)",81358,62551,14431,4376
"Casa independiente",,,,
"Viviendas particulares (004)",16554,12924,2732,898
"Ocupantes presentes (005)",70841,55674,11475,3692
"Departamento en edificio",,,,
"Viviendas particulares (007)",583,479,104,
"Ocupantes presentes (008)",1863,1556,307,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",958,756,202,
"Ocupantes presentes (011)",3649,2917,732,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",939,469,458,12
"Ocupantes presentes (014)",3698,1932,1708,58
"Choza o cabaña",,,,
"Viviendas particulares (016)",123,,,123
"Ocupantes presentes (017)",555,,,555
"Vivienda improvisada",,,,
"Viviendas particulares (019)",119,68,34,17
"Ocupantes presentes (020)",484,271,146,67
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",74,62,12,
"Ocupantes presentes (023)",264,201,63,
"Otro tipo",,,,
"Viviendas particulares (025)",2,,,2
"Ocupantes presentes (026)",4,,,4
Si,,,,
"Viviendas particulares (028)",17998,13839,3252,907
"Ocupantes presentes (029)",75615,58724,13162,3729
"Casa independiente",,,,
"Viviendas particulares (031)",15345,12117,2463,765
"Ocupantes presentes (032)",65644,52247,10291,3106
"Departamento en edificio",,,,
"Viviendas particulares (034)",568,464,104,
"Ocupantes presentes (035)",1808,1501,307,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",896,703,193,
"Ocupantes presentes (038)",3429,2734,695,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",888,432,449,7
"Ocupantes presentes (041)",3489,1794,1668,27
"Choza o cabaña",,,,
"Viviendas particulares (043)",120,,,120
"Ocupantes presentes (044)",539,,,539
"Vivienda improvisada",,,,
"Viviendas particulares (046)",105,61,31,13
"Ocupantes presentes (047)",438,247,138,53
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",74,62,12,
"Ocupantes presentes (050)",264,201,63,
"Otro tipo",,,,
"Viviendas particulares (052)",2,,,2
"Ocupantes presentes (053)",4,,,4
No,,,,
"Viviendas particulares (055)",1354,919,290,145
"Ocupantes presentes (056)",5743,3827,1269,647
"Casa independiente",,,,
"Viviendas particulares (058)",1209,807,269,133
"Ocupantes presentes (059)",5197,3427,1184,586
"Departamento en edificio",,,,
"Viviendas particulares (061)",15,15,,
"Ocupantes presentes (062)",55,55,,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",62,53,9,
"Ocupantes presentes (065)",220,183,37,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",51,37,9,5
"Ocupantes presentes (068)",209,138,40,31
"Choza o cabaña",,,,
"Viviendas particulares (070)",3,,,3
"Ocupantes presentes (071)",16,,,16
"Vivienda improvisada",,,,
"Viviendas particulares (073)",14,7,3,4
"Ocupantes presentes (074)",46,24,8,14
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",16666,13388,2749,529
"Ocupantes presentes (110)",70642,57043,11242,2357
"Casa independiente",,,,
"Viviendas particulares (112)",13995,11557,1939,499
"Ocupantes presentes (113)",60688,50173,8286,2229
"Departamento en edificio",,,,
"Viviendas particulares (115)",583,479,104,
"Ocupantes presentes (116)",1863,1556,307,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",958,756,202,
"Ocupantes presentes (119)",3649,2917,732,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",939,469,458,12
"Ocupantes presentes (122)",3698,1932,1708,58
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",119,68,34,17
"Ocupantes presentes (128)",484,271,146,67
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",71,59,12,
"Ocupantes presentes (131)",257,194,63,
"Otro tipo",,,,
"Viviendas particulares (133)",1,,,1
"Ocupantes presentes (134)",3,,,3
Si,,,,
"Viviendas particulares (136)",15561,12559,2570,432
"Ocupantes presentes (137)",65974,53591,10475,1908
"Casa independiente",,,,
"Viviendas particulares (139)",13032,10840,1781,411
"Ocupantes presentes (140)",56550,47121,7604,1825
"Departamento en edificio",,,,
"Viviendas particulares (142)",568,464,104,
"Ocupantes presentes (143)",1808,1501,307,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",896,703,193,
"Ocupantes presentes (146)",3429,2734,695,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",888,432,449,7
"Ocupantes presentes (149)",3489,1794,1668,27
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",105,61,31,13
"Ocupantes presentes (155)",438,247,138,53
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",71,59,12,
"Ocupantes presentes (158)",257,194,63,
"Otro tipo",,,,
"Viviendas particulares (160)",1,,,1
"Ocupantes presentes (161)",3,,,3
No,,,,
"Viviendas particulares (163)",1105,829,179,97
"Ocupantes presentes (164)",4668,3452,767,449
"Casa independiente",,,,
"Viviendas particulares (166)",963,717,158,88
"Ocupantes presentes (167)",4138,3052,682,404
"Departamento en edificio",,,,
"Viviendas particulares (169)",15,15,,
"Ocupantes presentes (170)",55,55,,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",62,53,9,
"Ocupantes presentes (173)",220,183,37,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",51,37,9,5
"Ocupantes presentes (176)",209,138,40,31
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (181)",14,7,3,4
"Ocupantes presentes (182)",46,24,8,14
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",2686,1370,793,523
"Ocupantes presentes (218)",10716,5508,3189,2019
"Casa independiente",,,,
"Viviendas particulares (220)",2559,1367,793,399
"Ocupantes presentes (221)",10153,5501,3189,1463
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",123,,,123
"Ocupantes presentes (233)",555,,,555
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (238)",3,3,,
"Ocupantes presentes (239)",7,7,,
"Otro tipo",,,,
"Viviendas particulares (241)",1,,,1
"Ocupantes presentes (242)",1,,,1
Si,,,,
"Viviendas particulares (244)",2437,1280,682,475
"Ocupantes presentes (245)",9641,5133,2687,1821
"Casa independiente",,,,
"Viviendas particulares (247)",2313,1277,682,354
"Ocupantes presentes (248)",9094,5126,2687,1281
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",120,,,120
"Ocupantes presentes (260)",539,,,539
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (265)",3,3,,
"Ocupantes presentes (266)",7,7,,
"Otro tipo",,,,
"Viviendas particulares (268)",1,,,1
"Ocupantes presentes (269)",1,,,1
No,,,,
"Viviendas particulares (271)",249,90,111,48
"Ocupantes presentes (272)",1075,375,502,198
"Casa independiente",,,,
"Viviendas particulares (274)",246,90,111,45
"Ocupantes presentes (275)",1059,375,502,182
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (286)",3,,,3
"Ocupantes presentes (287)",16,,,16
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
