"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia DATEM DEL MARAÑON (000)",49571,1775,22783,13015,7097,4038,863
"Hombres (001)",25223,897,11446,6449,3736,2230,465
"Mujeres (002)",24348,878,11337,6566,3361,1808,398
"Viviendas particulares (003)",48859,1771,22714,12565,6997,3954,858
"Hombres (004)",24623,896,11403,6059,3648,2156,461
"Mujeres (005)",24236,875,11311,6506,3349,1798,397
"Viviendas colectivas (006)",617,3,63,403,83,63,2
"Hombres (007)",535,1,40,359,73,60,2
"Mujeres (008)",82,2,23,44,10,3,
"Otro tipo (009)",95,1,6,47,17,21,3
"Hombres (010)",65,,3,31,15,14,2
"Mujeres (011)",30,1,3,16,2,7,1
,,,,,,,
"URBANA (012)",13598,408,5706,3748,2160,1291,285
"Hombres (013)",6854,212,2848,1829,1093,710,162
"Mujeres (014)",6744,196,2858,1919,1067,581,123
"Viviendas particulares (015)",13371,405,5674,3629,2125,1257,281
"Hombres (016)",6690,211,2825,1744,1066,685,159
"Mujeres (017)",6681,194,2849,1885,1059,572,122
"Viviendas colectivas (018)",148,2,27,78,24,16,1
"Hombres (019)",113,1,21,58,18,14,1
"Mujeres (020)",35,1,6,20,6,2,
"Otro tipo (021)",79,1,5,41,11,18,3
"Hombres (022)",51,,2,27,9,11,2
"Mujeres (023)",28,1,3,14,2,7,1
,,,,,,,
"RURAL (024)",35973,1367,17077,9267,4937,2747,578
"Hombres (025)",18369,685,8598,4620,2643,1520,303
"Mujeres (026)",17604,682,8479,4647,2294,1227,275
"Viviendas particulares (027)",35488,1366,17040,8936,4872,2697,577
"Hombres (028)",17933,685,8578,4315,2582,1471,302
"Mujeres (029)",17555,681,8462,4621,2290,1226,275
"Viviendas colectivas (030)",469,1,36,325,59,47,1
"Hombres (031)",422,,19,301,55,46,1
"Mujeres (032)",47,1,17,24,4,1,
"Otro tipo (033)",16,,1,6,6,3,
"Hombres (034)",14,,1,4,6,3,
"Mujeres (035)",2,,,2,,,
