"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia URUBAMBA (000)",15104,183,4977,4605,1647,571,211,71,8,,2831
"Sin Nivel (001)",3082,72,1124,928,306,136,63,24,3,,426
"Educación Inicial (002)",14,,5,4,,1,,,,,4
"Primaria (003)",4912,80,2188,1506,438,138,70,26,4,,462
"Secundaria (004)",4223,22,1446,1538,404,118,34,14,,,647
"Sup. no Univ. Incompleta (005)",540,2,67,176,95,16,3,,,,181
"Sup. no Univ. Completa (006)",953,1,81,267,217,79,16,3,,,289
"Sup. Univ. Incompleta (007)",358,1,29,67,41,10,4,1,,,205
"Sup. Univ. Completa (008)",1022,5,37,119,146,73,21,3,1,,617
,,,,,,,,,,,
"URBANA (010)",7734,79,2135,2177,930,339,133,43,5,,1893
"Sin Nivel (011)",729,21,277,174,81,30,19,5,2,,120
"Educación Inicial (012)",6,,3,1,,,,,,,2
"Primaria (013)",1953,33,802,574,195,73,44,19,2,,211
"Secundaria (014)",2549,16,871,897,233,87,30,13,,,402
"Sup. no Univ. Incompleta (015)",412,2,55,134,73,13,2,,,,133
"Sup. no Univ. Completa (016)",800,1,66,227,185,57,16,2,,,246
"Sup. Univ. Incompleta (017)",322,1,25,58,38,10,4,1,,,185
"Sup. Univ. Completa (018)",963,5,36,112,125,69,18,3,1,,594
,,,,,,,,,,,
"RURAL (020)",7370,104,2842,2428,717,232,78,28,3,,938
"Sin Nivel (021)",2353,51,847,754,225,106,44,19,1,,306
"Educación Inicial (022)",8,,2,3,,1,,,,,2
"Primaria (023)",2959,47,1386,932,243,65,26,7,2,,251
"Secundaria (024)",1674,6,575,641,171,31,4,1,,,245
"Sup. no Univ. Incompleta (025)",128,,12,42,22,3,1,,,,48
"Sup. no Univ. Completa (026)",153,,15,40,32,22,,1,,,43
"Sup. Univ. Incompleta (027)",36,,4,9,3,,,,,,20
"Sup. Univ. Completa (028)",59,,1,7,21,4,3,,,,23
