"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia LEONCIO PRADO (000)",2288,458,1830
"Sin nivel (001)",139,14,125
"Educación inicial (002)",5,1,4
"Primaria (003)",708,110,598
"Secundaria (004)",925,222,703
"Superior no univ. incompleta (005)",97,19,78
"Superior no univ. completa (006)",108,21,87
"Superior univ. incompleta (007)",123,33,90
"Superior univ. completa (008)",183,38,145
"Hombres (010)",1633,271,1362
"Sin nivel (011)",90,9,81
"Educación inicial (012)",3,1,2
"Primaria (013)",564,74,490
"Secundaria (014)",692,134,558
"Superior no univ. incompleta (015)",59,12,47
"Superior no univ. completa (016)",54,9,45
"Superior univ. incompleta (017)",76,19,57
"Superior univ. completa (018)",95,13,82
"Mujeres (020)",655,187,468
"Sin nivel (021)",49,5,44
"Educación inicial (022)",2,,2
"Primaria (023)",144,36,108
"Secundaria (024)",233,88,145
"Superior no univ. incompleta (025)",38,7,31
"Superior no univ. completa (026)",54,12,42
"Superior univ. incompleta (027)",47,14,33
"Superior univ. completa (028)",88,25,63
,,,
"AREA URBANA (030)",1481,316,1165
"Sin nivel (031)",34,3,31
"Educación inicial (032)",2,,2
"Primaria (033)",300,44,256
"Secundaria (034)",674,167,507
"Superior no univ. incompleta (035)",88,17,71
"Superior no univ. completa (036)",94,20,74
"Superior univ. incompleta (037)",114,27,87
"Superior univ. completa (038)",175,38,137
"Hombres (040)",956,162,794
"Sin nivel (041)",19,1,18
"Primaria (043)",216,28,188
"Secundaria (044)",463,87,376
"Superior no univ. incompleta (045)",53,10,43
"Superior no univ. completa (046)",47,9,38
"Superior univ. incompleta (047)",68,14,54
"Superior univ. completa (048)",90,13,77
"Mujeres (050)",525,154,371
"Sin nivel (051)",15,2,13
"Educación inicial (052)",2,,2
"Primaria (053)",84,16,68
"Secundaria (054)",211,80,131
"Superior no univ. incompleta (055)",35,7,28
"Superior no univ. completa (056)",47,11,36
"Superior univ. incompleta (057)",46,13,33
"Superior univ. completa (058)",85,25,60
,,,
"AREA RURAL (060)",807,142,665
"Sin nivel (061)",105,11,94
"Educación inicial (062)",3,1,2
"Primaria (063)",408,66,342
"Secundaria (064)",251,55,196
"Superior no univ. incompleta (065)",9,2,7
"Superior no univ. completa (066)",14,1,13
"Superior univ. incompleta (067)",9,6,3
"Superior univ. completa (068)",8,,8
"Hombres (070)",677,109,568
"Sin nivel (071)",71,8,63
"Educación inicial (072)",3,1,2
"Primaria (073)",348,46,302
"Secundaria (074)",229,47,182
"Superior no univ. incompleta (075)",6,2,4
"Superior no univ. completa (076)",7,,7
"Superior univ. incompleta (077)",8,5,3
"Superior univ. completa (078)",5,,5
"Mujeres (080)",130,33,97
"Sin nivel (081)",34,3,31
"Primaria (083)",60,20,40
"Secundaria (084)",22,8,14
"Superior no univ. incompleta (085)",3,,3
"Superior no univ. completa (086)",7,1,6
"Superior univ. incompleta (087)",1,1,
"Superior univ. completa (088)",3,,3
