"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CASTROVIRREYNA (000)",14259,2115,2162,2491,2559,1693,3239
"Católica (001)",11995,1814,1825,2082,2147,1421,2706
"Cristiana/Evangélica (002)",2060,278,302,363,373,256,488
"Otra (003)",77,9,12,20,13,6,17
"Ninguna (004)",127,14,23,26,26,10,28
"Hombres (006)",7540,1061,1211,1378,1465,958,1467
"Católica (007)",6440,927,1039,1180,1244,815,1235
"Cristiana/Evangélica (008)",966,125,150,163,189,133,206
"Otra (009)",52,4,9,15,10,3,11
"Ninguna (010)",82,5,13,20,22,7,15
"Mujeres (012)",6719,1054,951,1113,1094,735,1772
"Católica (013)",5555,887,786,902,903,606,1471
"Cristiana/Evangélica (014)",1094,153,152,200,184,123,282
"Otra (015)",25,5,3,5,3,3,6
"Ninguna (016)",45,9,10,6,4,3,13
,,,,,,,
"URBANA (018)",4804,641,760,956,911,587,949
"Católica (019)",4166,552,643,829,817,509,816
"Cristiana/Evangélica (020)",543,76,99,100,79,73,116
"Otra (021)",44,8,7,14,5,1,9
"Ninguna (022)",51,5,11,13,10,4,8
"Hombres (024)",2656,305,447,560,533,375,436
"Católica (025)",2349,273,388,493,489,321,385
"Cristiana/Evangélica (026)",250,29,49,48,31,51,42
"Otra (027)",25,3,5,9,4,,4
"Ninguna (028)",32,,5,10,9,3,5
"Mujeres (030)",2148,336,313,396,378,212,513
"Católica (031)",1817,279,255,336,328,188,431
"Cristiana/Evangélica (032)",293,47,50,52,48,22,74
"Otra (033)",19,5,2,5,1,1,5
"Ninguna (034)",19,5,6,3,1,1,3
,,,,,,,
"RURAL (036)",9455,1474,1402,1535,1648,1106,2290
"Católica (037)",7829,1262,1182,1253,1330,912,1890
"Cristiana/Evangélica (038)",1517,202,203,263,294,183,372
"Otra (039)",33,1,5,6,8,5,8
"Ninguna (040)",76,9,12,13,16,6,20
"Hombres (042)",4884,756,764,818,932,583,1031
"Católica (043)",4091,654,651,687,755,494,850
"Cristiana/Evangélica (044)",716,96,101,115,158,82,164
"Otra (045)",27,1,4,6,6,3,7
"Ninguna (046)",50,5,8,10,13,4,10
"Mujeres (048)",4571,718,638,717,716,523,1259
"Católica (049)",3738,608,531,566,575,418,1040
"Cristiana/Evangélica (050)",801,106,102,148,136,101,208
"Otra (051)",6,,1,,2,2,1
"Ninguna (052)",26,4,4,3,3,2,10
