"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia JULCAN (000)",7873,7484,200,97,92
"Agric., ganadería, caza y silvicultura (001)",6393,6289,91,9,4
"Explotación de minas y canteras (003)",4,2,,,2
"Industrias manufactureras (004)",74,68,4,2,
"Suministro de electricidad, gas y agua (005)",4,1,,3,
"Construcción (006)",74,52,8,13,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",250,242,6,2,
"Venta, mant.y rep. veh.autom y motoc. (008)",2,1,,1,
"Comercio al por mayor (009)",12,12,,,
"Comercio al por menor (010)",236,229,6,1,
"Hoteles y restaurantes (011)",60,53,6,1,
"Trans., almac. y comunicaciones (012)",81,67,5,7,2
"Activid.inmobil., empres. y alquileres (014)",20,13,2,5,
"Admin.pub. y defensa; p. segur soc.afil (015)",58,,,,58
"Enseñanza (016)",321,207,65,48,1
"Servicios sociales y de salud (017)",47,21,1,1,24
"Otras activ. serv.comun.soc y personales (018)",33,28,2,3,
"Hogares privados con servicio doméstico (019)",66,66,,,
"Actividad economica no especificada (021)",388,375,10,3,
"Hombres (022)",6988,6693,157,73,65
"Agric., ganadería, caza y silvicultura (023)",6229,6131,89,6,3
"Explotación de minas y canteras (025)",4,2,,,2
"Industrias manufactureras (026)",66,62,2,2,
"Suministro de electricidad, gas y agua (027)",4,1,,3,
"Construcción (028)",71,49,8,13,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",150,145,4,1,
"Venta, mant.y rep. veh.autom y motoc. (030)",2,1,,1,
"Comercio al por mayor (031)",7,7,,,
"Comercio al por menor (032)",141,137,4,,
"Hoteles y restaurantes (033)",3,3,,,
"Trans., almac. y comunicaciones (034)",73,60,4,7,2
"Activid.inmobil., empres. y alquileres (036)",15,8,2,5,
"Admin.pub. y defensa; p. segur soc.afil (037)",49,,,,49
"Enseñanza (038)",124,54,41,29,
"Servicios sociales y de salud (039)",18,8,1,1,8
"Otras activ. serv.comun.soc y personales (040)",10,5,2,3,
"Hogares privados con servicio doméstico (041)",7,7,,,
"Actividad economica no especificada (043)",165,158,4,3,
"Mujeres (044)",885,791,43,24,27
"Agric., ganadería, caza y silvicultura (045)",164,158,2,3,1
"Industrias manufactureras (048)",8,6,2,,
"Construcción (050)",3,3,,,
