"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia ANDAHUAYLAS (000)",53370,51550,16273,5944,5895,4962,7466,5075,5935,1820
"Católica (001)",42610,41095,12862,4758,4746,3959,6028,4064,4678,1515
"Cristiana/Evangélica (002)",9466,9220,3007,1018,988,895,1278,908,1126,246
"Otra (003)",789,752,235,94,90,70,96,73,94,37
"Ninguna (004)",505,483,169,74,71,38,64,30,37,22
,,,,,,,,,,
"URBANA (006)",24697,23445,7816,3235,3168,2457,3166,1833,1770,1252
"Católica (007)",19999,18955,6241,2637,2622,1995,2580,1482,1398,1044
"Cristiana/Evangélica (008)",3871,3715,1304,485,432,382,488,307,317,156
"Otra (009)",535,501,166,73,68,55,66,34,39,34
"Ninguna (010)",292,274,105,40,46,25,32,10,16,18
,,,,,,,,,,
"RURAL (012)",28673,28105,8457,2709,2727,2505,4300,3242,4165,568
"Católica (013)",22611,22140,6621,2121,2124,1964,3448,2582,3280,471
"Cristiana/Evangélica (014)",5595,5505,1703,533,556,513,790,601,809,90
"Otra (015)",254,251,69,21,22,15,30,39,55,3
"Ninguna (016)",213,209,64,34,25,13,32,20,21,4
