"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MOHO (000)",25985,5085,765,11642,7373,329,307,199,285
"Jefe o Jefa (001)",9435,2164,12,4419,2285,120,174,75,186
"Esposa(o)/ compa¤era(o) (002)",4145,1173,9,2079,778,32,34,9,31
"Hijo(a)/ hijastro(a) (003)",10057,1240,631,4174,3642,143,75,96,56
"Yerno/ nuera (004)",288,2,1,92,169,6,9,5,4
"Nieto(a) (005)",1009,240,90,464,202,6,1,5,1
"Padres/ suegros (006)",165,115,,43,7,,,,
"Otro(a) pariente (007)",818,143,21,350,265,18,9,9,3
"Trabajador(a) del hogar (008)",8,2,,,6,,,,
"Pensionista (009)",2,,,,,1,,,1
"Otro(a) no pariente (010)",58,6,1,21,19,3,5,,3
"Hombres (012)",12733,1594,358,5579,4388,234,216,145,219
"Jefe o Jefa (013)",6101,730,7,3019,1853,110,147,68,167
"Esposa(o)/ compa¤era(o) (014)",172,19,,63,71,4,6,,9
"Hijo(a)/ hijastro(a) (015)",5307,653,302,2023,2087,95,50,62,35
"Yerno/ nuera (016)",128,,,21,88,4,7,4,4
"Nieto(a) (017)",521,126,36,237,114,4,,4,
"Padres/ suegros (018)",43,15,,24,4,,,,
"Otro(a) pariente (019)",417,47,13,176,155,13,4,7,2
"Trabajador(a) del hogar (020)",3,,,,3,,,,
"Pensionista (021)",2,,,,,1,,,1
"Otro(a) no pariente (022)",39,4,,16,13,3,2,,1
"Mujeres (024)",13252,3491,407,6063,2985,95,91,54,66
"Jefe o Jefa (025)",3334,1434,5,1400,432,10,27,7,19
"Esposa(o)/ compa¤era(o) (026)",3973,1154,9,2016,707,28,28,9,22
"Hijo(a)/ hijastro(a) (027)",4750,587,329,2151,1555,48,25,34,21
"Yerno/ nuera (028)",160,2,1,71,81,2,2,1,
"Nieto(a) (029)",488,114,54,227,88,2,1,1,1
"Padres/ suegros (030)",122,100,,19,3,,,,
"Otro(a) pariente (031)",401,96,8,174,110,5,5,2,1
"Trabajador(a) del hogar (032)",5,2,,,3,,,,
"Otro(a) no pariente (034)",19,2,1,5,6,,3,,2
,,,,,,,,,
"URBANA (036)",7103,1040,230,2632,2549,185,178,131,158
"Jefe o Jefa (037)",2342,352,5,841,810,74,106,49,105
"Esposa(o)/ compa¤era(o) (038)",1133,238,4,451,363,26,26,7,18
"Hijo(a)/ hijastro(a) (039)",2876,334,187,1055,1110,70,30,64,26
"Yerno/ nuera (040)",82,,,14,56,2,5,2,3
"Nieto(a) (041)",269,59,24,120,59,3,1,2,1
"Padres/ suegros (042)",36,25,,7,4,,,,
"Otro(a) pariente (043)",314,28,9,131,126,7,5,7,1
"Trabajador(a) del hogar (044)",7,1,,,6,,,,
"Pensionista (045)",2,,,,,1,,,1
"Otro(a) no pariente (046)",42,3,1,13,15,2,5,,3
"Hombres (048)",3654,381,107,1262,1453,119,121,93,118
"Jefe o Jefa (049)",1680,150,4,575,650,68,92,47,94
"Esposa(o)/ compa¤era(o) (050)",59,6,,17,30,1,3,,2
