"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LUYA (000)",12082,11724,62,2077,2094,1781,2865,1802,786,257,358,45224
"De 12 a 14 años (001)",23,8,,6,2,,,,,,15,10
"De 15 a 19 años (002)",411,378,7,325,40,5,1,,,,33,424
"De 20 a 24 años (003)",1259,1164,8,657,351,107,40,1,,,95,1852
"De 25 a 29 años (004)",1464,1396,1,394,505,290,194,12,,,68,3175
"De 30 a 34 años (005)",1317,1286,1,183,325,322,358,87,8,2,31,3985
"De 35 a 39 años (006)",1330,1313,7,104,249,275,441,185,46,6,17,4990
"De 40 a 44 años (007)",1157,1133,3,70,145,179,345,260,112,19,24,5263
"De 45 a 49 años (008)",978,967,2,63,94,112,280,239,125,52,11,4965
"De 50 y más años (009)",4143,4079,33,275,383,491,1206,1018,495,178,64,20560
"PEA (010)",2609,2500,12,525,556,392,540,286,136,53,109,8699
"De 12 a 14 años (011)",2,1,,,1,,,,,,1,2
"De 15 a 19 años (012)",45,42,,39,3,,,,,,3,45
"De 20 a 24 años (013)",227,197,1,119,58,10,9,,,,30,305
"De 25 a 29 años (014)",326,294,,128,96,37,31,2,,,32,573
"De 30 a 34 años (015)",331,313,,81,105,59,55,12,1,,18,788
"De 35 a 39 años (016)",398,391,,44,116,90,98,31,10,2,7,1265
"De 40 a 44 años (017)",324,316,3,28,68,70,87,44,14,2,8,1181
"De 45 a 49 años (018)",257,254,1,26,38,36,65,49,28,11,3,1156
"De 50 y más años (019)",699,692,7,60,71,90,195,148,83,38,7,3384
"Ocupada (020)",2583,2477,12,517,555,391,530,284,135,53,106,8621
"De 12 a 14 años (021)",2,1,,,1,,,,,,1,2
"De 15 a 19 años (022)",44,41,,38,3,,,,,,3,44
