"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PARINACOCHAS (000)",28196,1409,7074,5039,3901,3490,2440,1955,2888
"Quechua (001)",15491,421,2614,2248,2108,2240,1747,1592,2521
"Aymara (002)",68,,3,12,17,12,12,4,8
"Otra lengua nativa (004)",30,2,12,6,5,4,1,,
"Castellano (005)",12576,984,4430,2766,1770,1232,677,358,359
"Idioma extranjero (006)",2,,2,,,,,,
"Es sordomudo/a (007)",29,2,13,7,1,2,3,1,
"Hombres (009)",14203,718,3598,2590,2035,1818,1230,968,1246
"Quechua (010)",7556,214,1337,1151,1065,1149,837,759,1044
"Aymara (011)",35,,2,3,12,6,9,1,2
"Otra lengua nativa (013)",15,,6,4,3,2,,,
"Castellano (014)",6577,502,2245,1428,954,659,382,207,200
"Es sordomudo/a (016)",20,2,8,4,1,2,2,1,
"Mujeres (018)",13993,691,3476,2449,1866,1672,1210,987,1642
"Quechua (019)",7935,207,1277,1097,1043,1091,910,833,1477
"Aymara (020)",33,,1,9,5,6,3,3,6
"Otra lengua nativa (022)",15,2,6,2,2,2,1,,
"Castellano (023)",5999,482,2185,1338,816,573,295,151,159
"Idioma extranjero (024)",2,,2,,,,,,
"Es sordomudo/a (025)",9,,5,3,,,1,,
,,,,,,,,,
"URBANA (027)",16307,814,4092,3119,2334,2143,1403,979,1423
"Quechua (028)",6445,76,722,945,962,1122,834,677,1107
"Aymara (029)",48,,1,11,12,9,9,4,2
"Otra lengua nativa (031)",28,2,11,5,5,4,1,,
"Castellano (032)",9775,736,3351,2154,1355,1008,559,298,314
"Es sordomudo/a (034)",11,,7,4,,,,,
"Hombres (036)",8093,415,2104,1570,1143,1079,700,493,589
"Quechua (037)",3076,37,377,498,462,559,397,323,423
"Aymara (038)",24,,1,3,8,5,6,1,
"Otra lengua nativa (040)",13,,5,3,3,2,,,
"Castellano (041)",4974,378,1717,1064,670,513,297,169,166
"Es sordomudo/a (043)",6,,4,2,,,,,
"Mujeres (045)",8214,399,1988,1549,1191,1064,703,486,834
"Quechua (046)",3369,39,345,447,500,563,437,354,684
"Aymara (047)",24,,,8,4,4,3,3,2
"Otra lengua nativa (049)",15,2,6,2,2,2,1,,
"Castellano (050)",4801,358,1634,1090,685,495,262,129,148
"Es sordomudo/a (052)",5,,3,2,,,,,
,,,,,,,,,
"RURAL (054)",11889,595,2982,1920,1567,1347,1037,976,1465
"Quechua (055)",9046,345,1892,1303,1146,1118,913,915,1414
"Aymara (056)",20,,2,1,5,3,3,,6
"Otra lengua nativa (058)",2,,1,1,,,,,
"Castellano (059)",2801,248,1079,612,415,224,118,60,45
"Idioma extranjero (060)",2,,2,,,,,,
"Es sordomudo/a (061)",18,2,6,3,1,2,3,1,
"Hombres (063)",6110,303,1494,1020,892,739,530,475,657
"Quechua (064)",4480,177,960,653,603,590,440,436,621
"Aymara (065)",11,,1,,4,1,3,,2
"Otra lengua nativa (067)",2,,1,1,,,,,
"Castellano (068)",1603,124,528,364,284,146,85,38,34
"Es sordomudo/a (070)",14,2,4,2,1,2,2,1,
"Mujeres (072)",5779,292,1488,900,675,608,507,501,808
"Quechua (073)",4566,168,932,650,543,528,473,479,793
"Aymara (074)",9,,1,1,1,2,,,4
"Castellano (077)",1198,124,551,248,131,78,33,22,11
"Idioma extranjero (078)",2,,2,,,,,,
"Es sordomudo/a (079)",4,,2,1,,,1,,
