"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",12313,10312,1060,445,496
"Sin nivel (001)",1096,1068,23,2,3
"Educación inicial (002)",16,16,,,
"Primaria (003)",3380,3183,144,19,34
"Secundaria (004)",4865,4379,281,75,130
"Superior no univ. incompleta (005)",484,384,56,15,29
"Superior no univ. completa (006)",531,334,82,45,70
"Superior univ. incompleta (007)",428,323,53,18,34
"Superior univ. completa (008)",1513,625,421,271,196
"De 06 a 14 años (010)",179,176,3,,
"Sin nivel (011)",5,5,,,
"Educación inicial (012)",1,1,,,
"Primaria (013)",118,117,1,,
"Secundaria (014)",55,53,2,,
"De 15 a 29 años (020)",3575,2987,300,90,198
"Sin nivel (021)",59,58,1,,
"Educación inicial (022)",9,9,,,
"Primaria (023)",297,273,18,1,5
"Secundaria (024)",2117,1918,126,27,46
"Superior no univ. incompleta (025)",246,201,28,5,12
"Superior no univ. completa (026)",201,136,18,11,36
"Superior univ. incompleta (027)",231,176,27,6,22
"Superior univ. completa (028)",415,216,82,40,77
"De 30 a 44 años (030)",4262,3354,481,240,187
"Sin nivel (031)",222,215,6,1,
"Educación inicial (032)",6,6,,,
"Primaria (033)",972,891,59,14,8
"Secundaria (034)",1706,1536,91,30,49
"Superior no univ. incompleta (035)",187,143,24,8,12
"Superior no univ. completa (036)",254,158,45,24,27
"Superior univ. incompleta (037)",151,112,19,11,9
"Superior univ. completa (038)",764,293,237,152,82
"De 45 a 64 años (040)",3173,2725,233,111,104
"Sin nivel (041)",456,442,11,1,2
"Primaria (043)",1386,1320,44,3,19
"Secundaria (044)",859,756,54,17,32
"Superior no univ. incompleta (045)",44,34,3,2,5
"Superior no univ. completa (046)",65,30,18,10,7
"Superior univ. incompleta (047)",45,34,7,1,3
"Superior univ. completa (048)",318,109,96,77,36
"De 65 y más años (050)",1124,1070,43,4,7
"Sin nivel (051)",354,348,5,,1
"Primaria (053)",607,582,22,1,2
"Secundaria (054)",128,116,8,1,3
"Superior no univ. incompleta (055)",7,6,1,,
"Superior no univ. completa (056)",11,10,1,,
"Superior univ. incompleta (057)",1,1,,,
"Superior univ. completa (058)",16,7,6,2,1
,,,,,
"URBANA (060)",7842,6201,827,409,405
