"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",16334,15813,4656,1939,1764,1580,2354,1565,1955,521
"Católica (001)",8949,8628,2492,1072,997,894,1264,813,1096,321
"Cristiana/Evangélica (002)",4177,4077,1191,490,431,390,630,414,531,100
"Otra (003)",2721,2637,837,301,270,250,398,296,285,84
"Ninguna (004)",487,471,136,76,66,46,62,42,43,16
,,,,,,,,,,
"URBANA (006)",5392,5185,1609,730,660,587,728,437,434,207
"Católica (007)",3447,3304,1033,463,423,393,446,273,273,143
"Cristiana/Evangélica (008)",1274,1237,383,159,144,124,206,105,116,37
"Otra (009)",482,463,135,70,63,53,60,46,36,19
"Ninguna (010)",189,181,58,38,30,17,16,13,9,8
,,,,,,,,,,
"RURAL (012)",10942,10628,3047,1209,1104,993,1626,1128,1521,314
"Católica (013)",5502,5324,1459,609,574,501,818,540,823,178
"Cristiana/Evangélica (014)",2903,2840,808,331,287,266,424,309,415,63
"Otra (015)",2239,2174,702,231,207,197,338,250,249,65
"Ninguna (016)",298,290,78,38,36,29,46,29,34,8
