"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia CANCHIS",,,,
"Viviendas particulares (001)",20631,15096,4948,587
"Ocupantes presentes (002)",78175,58564,17362,2249
"Casa independiente",,,,
"Viviendas particulares (004)",17182,14489,2159,534
"Ocupantes presentes (005)",66855,56467,8299,2089
"Departamento en edificio",,,,
"Viviendas particulares (007)",74,51,23,
"Ocupantes presentes (008)",265,186,79,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",273,220,53,
"Ocupantes presentes (011)",909,738,171,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",3046,324,2710,12
"Ocupantes presentes (014)",9983,1139,8805,39
"Choza o cabaña",,,,
"Viviendas particulares (016)",37,,,37
"Ocupantes presentes (017)",110,,,110
"Vivienda improvisada",,,,
"Viviendas particulares (019)",2,,2,
"Ocupantes presentes (020)",7,,7,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",14,12,1,1
"Ocupantes presentes (023)",40,34,1,5
"Otro tipo",,,,
"Viviendas particulares (025)",3,,,3
"Ocupantes presentes (026)",6,,,6
Si,,,,
"Viviendas particulares (028)",19531,14436,4622,473
"Ocupantes presentes (029)",73912,55950,16171,1791
"Casa independiente",,,,
"Viviendas particulares (031)",16181,13849,1909,423
"Ocupantes presentes (032)",62915,53906,7369,1640
"Departamento en edificio",,,,
"Viviendas particulares (034)",70,50,20,
"Ocupantes presentes (035)",244,181,63,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",272,219,53,
"Ocupantes presentes (038)",908,737,171,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",2954,306,2637,11
"Ocupantes presentes (041)",9687,1092,8560,35
"Choza o cabaña",,,,
"Viviendas particulares (043)",37,,,37
"Ocupantes presentes (044)",110,,,110
"Vivienda improvisada",,,,
"Viviendas particulares (046)",2,,2,
"Ocupantes presentes (047)",7,,7,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",14,12,1,1
"Ocupantes presentes (050)",40,34,1,5
"Otro tipo",,,,
"Viviendas particulares (052)",1,,,1
"Ocupantes presentes (053)",1,,,1
No,,,,
"Viviendas particulares (055)",1100,660,326,114
"Ocupantes presentes (056)",4263,2614,1191,458
"Casa independiente",,,,
"Viviendas particulares (058)",1001,640,250,111
"Ocupantes presentes (059)",3940,2561,930,449
"Departamento en edificio",,,,
"Viviendas particulares (061)",4,1,3,
"Ocupantes presentes (062)",21,5,16,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",1,1,,
"Ocupantes presentes (065)",1,1,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",92,18,73,1
"Ocupantes presentes (068)",296,47,245,4
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"Viviendas particulares (079)",2,,,2
"Ocupantes presentes (080)",5,,,5
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",14446,10328,4013,105
"Ocupantes presentes (110)",54894,40714,13783,397
"Casa independiente",,,,
"Viviendas particulares (112)",11037,9723,1225,89
"Ocupantes presentes (113)",43690,38622,4721,347
"Departamento en edificio",,,,
"Viviendas particulares (115)",74,51,23,
"Ocupantes presentes (116)",265,186,79,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",273,220,53,
"Ocupantes presentes (119)",909,738,171,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",3046,324,2710,12
"Ocupantes presentes (122)",9983,1139,8805,39
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",2,,2,
"Ocupantes presentes (128)",7,,7,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",11,10,,1
"Ocupantes presentes (131)",34,29,,5
"Otro tipo",,,,
"Viviendas particulares (133)",3,,,3
"Ocupantes presentes (134)",6,,,6
Si,,,,
"Viviendas particulares (136)",13706,9839,3788,79
"Ocupantes presentes (137)",52043,38772,12964,307
"Casa independiente",,,,
"Viviendas particulares (139)",10396,9254,1076,66
"Ocupantes presentes (140)",41162,36733,4163,266
"Departamento en edificio",,,,
"Viviendas particulares (142)",70,50,20,
"Ocupantes presentes (143)",244,181,63,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",272,219,53,
"Ocupantes presentes (146)",908,737,171,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",2954,306,2637,11
"Ocupantes presentes (149)",9687,1092,8560,35
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",2,,2,
"Ocupantes presentes (155)",7,,7,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",11,10,,1
"Ocupantes presentes (158)",34,29,,5
"Otro tipo",,,,
"Viviendas particulares (160)",1,,,1
"Ocupantes presentes (161)",1,,,1
No,,,,
"Viviendas particulares (163)",740,489,225,26
"Ocupantes presentes (164)",2851,1942,819,90
"Casa independiente",,,,
"Viviendas particulares (166)",641,469,149,23
"Ocupantes presentes (167)",2528,1889,558,81
"Departamento en edificio",,,,
"Viviendas particulares (169)",4,1,3,
"Ocupantes presentes (170)",21,5,16,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",1,1,,
"Ocupantes presentes (173)",1,1,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",92,18,73,1
"Ocupantes presentes (176)",296,47,245,4
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"Viviendas particulares (187)",2,,,2
"Ocupantes presentes (188)",5,,,5
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",6185,4768,935,482
"Ocupantes presentes (218)",23281,17850,3579,1852
"Casa independiente",,,,
"Viviendas particulares (220)",6145,4766,934,445
"Ocupantes presentes (221)",23165,17845,3578,1742
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",37,,,37
"Ocupantes presentes (233)",110,,,110
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (238)",3,2,1,
"Ocupantes presentes (239)",6,5,1,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",5825,4597,834,394
"Ocupantes presentes (245)",21869,17178,3207,1484
"Casa independiente",,,,
"Viviendas particulares (247)",5785,4595,833,357
"Ocupantes presentes (248)",21753,17173,3206,1374
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",37,,,37
"Ocupantes presentes (260)",110,,,110
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (265)",3,2,1,
"Ocupantes presentes (266)",6,5,1,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",360,171,101,88
"Ocupantes presentes (272)",1412,672,372,368
"Casa independiente",,,,
"Viviendas particulares (274)",360,171,101,88
"Ocupantes presentes (275)",1412,672,372,368
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
