"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia LA UNION (000)",5606,5500,1310,505,621,563,938,729,834,106
"Católica (001)",5024,4932,1171,447,546,517,836,650,765,92
"Cristiana/Evangélica (002)",346,335,80,36,44,30,62,47,36,11
"Otra (003)",113,111,30,9,15,10,19,15,13,2
"Ninguna (004)",123,122,29,13,16,6,21,17,20,1
,,,,,,,,,,
"URBANA (006)",2813,2768,763,280,329,302,444,319,331,45
"Católica (007)",2513,2471,671,248,294,276,397,280,305,42
"Cristiana/Evangélica (008)",159,157,48,18,15,18,25,21,12,2
"Otra (009)",80,79,27,6,10,6,13,10,7,1
"Ninguna (010)",61,61,17,8,10,2,9,8,7,
,,,,,,,,,,
"RURAL (012)",2793,2732,547,225,292,261,494,410,503,61
"Católica (013)",2511,2461,500,199,252,241,439,370,460,50
"Cristiana/Evangélica (014)",187,178,32,18,29,12,37,26,24,9
"Otra (015)",33,32,3,3,5,4,6,5,6,1
"Ninguna (016)",62,61,12,5,6,4,12,9,13,1
