"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUARMEY (000)",25713,2355,713,8369,9394,1095,1256,963,1568
"Jefe o Jefa (001)",6898,406,5,2215,2574,339,430,279,650
"Esposa(o)/ compa¤era(o) (002)",4433,404,5,1406,1613,195,318,133,359
"Hijo(a)/ hijastro(a) (003)",9824,945,509,3278,3628,390,317,390,367
"Yerno/ nuera (004)",573,5,,51,311,57,51,28,70
"Nieto(a) (005)",1627,295,137,651,449,33,13,36,13
"Padres/ suegros (006)",328,104,,178,37,2,1,1,5
"Otro(a) pariente (007)",1637,160,48,498,639,58,85,81,68
"Trabajador(a) del hogar (008)",25,3,,12,9,,1,,
"Pensionista (009)",47,1,,5,28,3,5,2,3
"Otro(a) no pariente (010)",321,32,9,75,106,18,35,13,33
"Hombres (012)",13202,1022,372,4163,5209,537,557,527,815
"Jefe o Jefa (013)",5187,239,3,1583,2093,229,311,236,493
"Esposa(o)/ compa¤era(o) (014)",378,10,,109,158,23,22,14,42
"Hijo(a)/ hijastro(a) (015)",5261,500,288,1718,2053,192,139,195,176
"Yerno/ nuera (016)",311,3,,27,164,33,26,16,42
"Nieto(a) (017)",842,155,55,336,248,18,5,18,7
"Padres/ suegros (018)",104,13,,62,23,1,,,5
"Otro(a) pariente (019)",879,80,21,276,372,26,38,38,28
"Trabajador(a) del hogar (020)",4,,,3,1,,,,
"Pensionista (021)",32,,,3,21,3,4,1,
"Otro(a) no pariente (022)",204,22,5,46,76,12,12,9,22
"Mujeres (024)",12511,1333,341,4206,4185,558,699,436,753
"Jefe o Jefa (025)",1711,167,2,632,481,110,119,43,157
"Esposa(o)/ compa¤era(o) (026)",4055,394,5,1297,1455,172,296,119,317
"Hijo(a)/ hijastro(a) (027)",4563,445,221,1560,1575,198,178,195,191
"Yerno/ nuera (028)",262,2,,24,147,24,25,12,28
"Nieto(a) (029)",785,140,82,315,201,15,8,18,6
"Padres/ suegros (030)",224,91,,116,14,1,1,1,
"Otro(a) pariente (031)",758,80,27,222,267,32,47,43,40
"Trabajador(a) del hogar (032)",21,3,,9,8,,1,,
"Pensionista (033)",15,1,,2,7,,1,1,3
"Otro(a) no pariente (034)",117,10,4,29,30,6,23,4,11
,,,,,,,,,
"URBANA (036)",19459,1575,565,5611,7206,992,1173,886,1451
"Jefe o Jefa (037)",5101,261,4,1398,1891,304,401,246,596
"Esposa(o)/ compa¤era(o) (038)",3231,215,5,844,1233,175,300,128,331
"Hijo(a)/ hijastro(a) (039)",7403,640,398,2228,2789,352,295,359,342
"Yerno/ nuera (040)",503,5,,37,261,56,48,28,68
"Nieto(a) (041)",1340,235,112,527,382,30,12,29,13
"Padres/ suegros (042)",270,76,,150,36,2,1,1,4
"Otro(a) pariente (043)",1310,122,37,364,508,55,80,80,64
"Trabajador(a) del hogar (044)",18,2,,9,6,,1,,
"Pensionista (045)",32,1,,2,20,2,3,2,2
"Otro(a) no pariente (046)",251,18,9,52,80,16,32,13,31
