"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia MAYNAS (000)",454800,116134,75081,29155,236204
"Sin Nivel (001)",39488,18524,4513,1619,14935
"Educación Inicial (002)",12022,5908,2172,626,3384
"Primaria (003)",158122,53660,16425,6099,82276
"Secundaria (004)",171639,33242,25360,9864,103633
"Sup. no Univ. Incompleta (005)",17366,1606,3451,1805,10587
"Sup. no Univ. Completa (006)",18089,1090,7262,2709,7237
"Sup. Univ. Incompleta (007)",15996,1104,4076,3233,7723
"Sup. Univ. Completa (008)",22078,1000,11822,3200,6429
"Hombres (010)",229097,53612,36391,16740,123396
"Sin Nivel (011)",18246,9025,2227,754,6289
"Educación Inicial (012)",6152,3024,1127,327,1703
"Primaria (013)",75402,24750,7511,2955,40347
"Secundaria (014)",89150,14497,12397,5756,56808
"Sup. no Univ. Incompleta (015)",9498,739,1781,1120,5902
"Sup. no Univ. Completa (016)",9364,490,3114,1895,3989
"Sup. Univ. Incompleta (017)",9156,563,2249,1907,4534
"Sup. Univ. Completa (018)",12129,524,5985,2026,3824
"Mujeres (020)",225703,62522,38690,12415,112808
"Sin Nivel (021)",21242,9499,2286,865,8646
"Educación Inicial (022)",5870,2884,1045,299,1681
"Primaria (023)",82720,28910,8914,3144,41929
"Secundaria (024)",82489,18745,12963,4108,46825
"Sup. no Univ. Incompleta (025)",7868,867,1670,685,4685
"Sup. no Univ. Completa (026)",8725,600,4148,814,3248
"Sup. Univ. Incompleta (027)",6840,541,1827,1326,3189
"Sup. Univ. Completa (028)",9949,476,5837,1174,2605
,,,,,
"URBANA (030)",364258,75640,72023,27549,190642
"Sin Nivel (031)",26124,10759,4253,1468,9731
"Educación Inicial (032)",9923,4337,2105,596,2943
"Primaria (033)",106204,30542,15511,5439,54991
"Secundaria (034)",150743,25536,24525,9291,91788
"Sup. no Univ. Incompleta (035)",16749,1493,3320,1771,10245
"Sup. no Univ. Completa (036)",17469,1018,6982,2641,7034
"Sup. Univ. Incompleta (037)",15698,1053,3971,3211,7601
"Sup. Univ. Completa (038)",21348,902,11356,3132,6309
"Hombres (040)",179646,33538,34745,15583,96680
"Sin Nivel (041)",12245,5359,2108,687,4129
"Educación Inicial (042)",5074,2214,1098,307,1477
"Primaria (043)",47755,13495,7077,2555,24753
"Secundaria (044)",75945,10390,11923,5250,48632
"Sup. no Univ. Incompleta (045)",9056,660,1694,1093,5650
"Sup. no Univ. Completa (046)",8967,448,2955,1835,3850
"Sup. Univ. Incompleta (047)",8926,522,2174,1888,4437
"Sup. Univ. Completa (048)",11678,450,5716,1968,3752
"Mujeres (050)",184612,42102,37278,11966,93962
"Sin Nivel (051)",13879,5400,2145,781,5602
"Educación Inicial (052)",4849,2123,1007,289,1466
"Primaria (053)",58449,17047,8434,2884,30238
"Secundaria (054)",74798,15146,12602,4041,43156
"Sup. no Univ. Incompleta (055)",7693,833,1626,678,4595
"Sup. no Univ. Completa (056)",8502,570,4027,806,3184
"Sup. Univ. Incompleta (057)",6772,531,1797,1323,3164
"Sup. Univ. Completa (058)",9670,452,5640,1164,2557
,,,,,
"RURAL (060)",90542,40494,3058,1606,45562
"Sin Nivel (061)",13364,7765,260,151,5204
"Educación Inicial (062)",2099,1571,67,30,441
"Primaria (063)",51918,23118,914,660,27285
"Secundaria (064)",20896,7706,835,573,11845
"Sup. no Univ. Incompleta (065)",617,113,131,34,342
"Sup. no Univ. Completa (066)",620,72,280,68,203
"Sup. Univ. Incompleta (067)",298,51,105,22,122
"Sup. Univ. Completa (068)",730,98,466,68,120
"Hombres (070)",49451,20074,1646,1157,26716
"Sin Nivel (071)",6001,3666,119,67,2160
"Educación Inicial (072)",1078,810,29,20,226
"Primaria (073)",27647,11255,434,400,15594
"Secundaria (074)",13205,4107,474,506,8176
"Sup. no Univ. Incompleta (075)",442,79,87,27,252
"Sup. no Univ. Completa (076)",397,42,159,60,139
"Sup. Univ. Incompleta (077)",230,41,75,19,97
"Sup. Univ. Completa (078)",451,74,269,58,72
"Mujeres (080)",41091,20420,1412,449,18846
"Sin Nivel (081)",7363,4099,141,84,3044
"Educación Inicial (082)",1021,761,38,10,215
"Primaria (083)",24271,11863,480,260,11691
"Secundaria (084)",7691,3599,361,67,3669
"Sup. no Univ. Incompleta (085)",175,34,44,7,90
"Sup. no Univ. Completa (086)",223,30,121,8,64
"Sup. Univ. Incompleta (087)",68,10,30,3,25
"Sup. Univ. Completa (088)",279,24,197,10,48
