"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia NAZCA (000)",23256,6244,6533,8726,408,808,537
"Conviviente (001)",7839,1572,2428,3340,135,213,151
"Separado(a) (002)",1232,305,282,558,17,11,59
"Casado(a) (003)",6757,2109,1817,2405,153,203,70
"Viudo(a) (004)",539,80,108,310,10,8,23
"Divorciado(a) (005)",161,61,30,56,7,3,4
"Soltero(a) (006)",6728,2117,1868,2057,86,370,230
"Hombres (008)",15623,3501,5712,5703,270,359,78
"Conviviente (009)",5454,924,2083,2268,100,59,20
"Separado(a) (010)",532,103,192,226,7,2,2
"Casado(a) (011)",4747,1368,1652,1565,95,54,13
"Viudo(a) (012)",217,27,62,122,4,2,
"Divorciado(a) (013)",88,27,25,31,4,1,
"Soltero(a) (014)",4585,1052,1698,1491,60,241,43
"Mujeres (016)",7633,2743,821,3023,138,449,459
"Conviviente (017)",2385,648,345,1072,35,154,131
"Separado(a) (018)",700,202,90,332,10,9,57
"Casado(a) (019)",2010,741,165,840,58,149,57
"Viudo(a) (020)",322,53,46,188,6,6,23
"Divorciado(a) (021)",73,34,5,25,3,2,4
"Soltero(a) (022)",2143,1065,170,566,26,129,187
,,,,,,,
"URBANA (024)",20495,6030,5159,7792,383,625,506
"Conviviente (025)",6797,1499,1895,2972,126,162,143
"Separado(a) (026)",1123,298,216,526,17,10,56
"Casado(a) (027)",6028,2060,1486,2112,145,160,65
"Viudo(a) (028)",455,75,78,265,9,6,22
"Divorciado(a) (029)",154,61,29,51,7,2,4
"Soltero(a) (030)",5938,2037,1455,1866,79,285,216
"Hombres (032)",13553,3372,4650,4956,248,254,73
"Conviviente (033)",4691,876,1685,1975,92,44,19
"Separado(a) (034)",464,100,156,199,7,1,1
"Casado(a) (035)",4205,1336,1402,1325,88,41,13
"Viudo(a) (036)",170,27,46,92,3,2,
"Divorciado(a) (037)",81,27,24,26,4,,
"Soltero(a) (038)",3942,1006,1337,1339,54,166,40
"Mujeres (040)",6942,2658,509,2836,135,371,433
"Conviviente (041)",2106,623,210,997,34,118,124
"Separado(a) (042)",659,198,60,327,10,9,55
"Casado(a) (043)",1823,724,84,787,57,119,52
"Viudo(a) (044)",285,48,32,173,6,4,22
"Divorciado(a) (045)",73,34,5,25,3,2,4
"Soltero(a) (046)",1996,1031,118,527,25,119,176
,,,,,,,
"RURAL (048)",2761,214,1374,934,25,183,31
"Conviviente (049)",1042,73,533,368,9,51,8
"Separado(a) (050)",109,7,66,32,,1,3
"Casado(a) (051)",729,49,331,293,8,43,5
"Viudo(a) (052)",84,5,30,45,1,2,1
"Divorciado(a) (053)",7,,1,5,,1,
"Soltero(a) (054)",790,80,413,191,7,85,14
"Hombres (056)",2070,129,1062,747,22,105,5
"Conviviente (057)",763,48,398,293,8,15,1
"Separado(a) (058)",68,3,36,27,,1,1
"Casado(a) (059)",542,32,250,240,7,13,
"Viudo(a) (060)",47,,16,30,1,,
"Divorciado(a) (061)",7,,1,5,,1,
"Soltero(a) (062)",643,46,361,152,6,75,3
"Mujeres (064)",691,85,312,187,3,78,26
"Conviviente (065)",279,25,135,75,1,36,7
"Separado(a) (066)",41,4,30,5,,,2
"Casado(a) (067)",187,17,81,53,1,30,5
"Viudo(a) (068)",37,5,14,15,,2,1
"Soltero(a) (070)",147,34,52,39,1,10,11
