"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia HUANCA SANCOS (000)",4642,712,1485,1262,1183
"Asiste actualmente (001)",3336,244,1411,1194,487
"No asiste (002)",1306,468,74,68,696
"Hombres (004)",2381,338,764,674,605
"Asiste actualmente (005)",1789,116,729,640,304
"No asiste (006)",592,222,35,34,301
"Mujeres (008)",2261,374,721,588,578
"Asiste actualmente (009)",1547,128,682,554,183
"No asiste (010)",714,246,39,34,395
,,,,,
"URBANA (012)",3192,468,1043,916,765
"Asiste actualmente (013)",2399,177,994,875,353
"No asiste (014)",793,291,49,41,412
"Hombres (016)",1661,224,543,499,395
"Asiste actualmente (017)",1298,84,521,475,218
"No asiste (018)",363,140,22,24,177
"Mujeres (020)",1531,244,500,417,370
"Asiste actualmente (021)",1101,93,473,400,135
"No asiste (022)",430,151,27,17,235
,,,,,
"RURAL (024)",1450,244,442,346,418
"Asiste actualmente (025)",937,67,417,319,134
"No asiste (026)",513,177,25,27,284
"Hombres (028)",720,114,221,175,210
"Asiste actualmente (029)",491,32,208,165,86
"No asiste (030)",229,82,13,10,124
"Mujeres (032)",730,130,221,171,208
"Asiste actualmente (033)",446,35,209,154,48
"No asiste (034)",284,95,12,17,160
