"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",23781,858,1898,2109,2219,4556,3691,5680,2770
"Sin nivel (001)",2624,858,139,23,18,54,173,612,747
"Educación inicial (002)",523,,485,18,3,9,8,,
"Primaria (003)",7558,,1274,1237,135,449,735,2285,1443
"Secundaria (004)",7406,,,831,1616,1833,1324,1515,287
"Superior no univ. incompleto (005)",1845,,,,342,945,297,213,48
"Superior no univ. completo (006)",1653,,,,,680,509,384,80
"Superior univ. incompleto (007)",760,,,,105,295,151,173,36
"Superior univ. completo (008)",1412,,,,,291,494,498,129
"Hombres (010)",12697,418,949,1117,1183,2496,2070,3018,1446
"Sin nivel (011)",859,418,59,11,9,28,52,111,171
"Educación inicial (012)",274,,257,10,1,1,5,,
"Primaria (013)",3765,,633,652,67,161,279,1099,874
"Secundaria (014)",4416,,,444,895,1036,848,995,198
"Superior no univ. incompleto (015)",1046,,,,156,522,197,139,32
"Superior no univ. completo (016)",1005,,,,,398,313,238,56
"Superior univ. incompleto (017)",472,,,,55,184,99,109,25
"Superior univ. completo (018)",860,,,,,166,277,327,90
"Mujeres (020)",11084,440,949,992,1036,2060,1621,2662,1324
"Sin nivel (021)",1765,440,80,12,9,26,121,501,576
"Educación inicial (022)",249,,228,8,2,8,3,,
"Primaria (023)",3793,,641,585,68,288,456,1186,569
"Secundaria (024)",2990,,,387,721,797,476,520,89
"Superior no univ. incompleto (025)",799,,,,186,423,100,74,16
"Superior no univ. completo (026)",648,,,,,282,196,146,24
"Superior univ. incompleto (027)",288,,,,50,111,52,64,11
"Superior univ. completo (028)",552,,,,,125,217,171,39
,,,,,,,,,
"URBANA (030)",10282,346,800,903,1009,2115,1633,2359,1117
"Sin nivel (031)",878,346,52,6,3,9,59,161,242
"Educación inicial (032)",209,,200,1,1,3,4,,
"Primaria (033)",2972,,548,529,32,144,266,865,588
"Secundaria (034)",3134,,,367,717,731,558,622,139
"Superior no univ. incompleto (035)",929,,,,204,531,108,76,10
"Superior no univ. completo (036)",871,,,,,368,243,218,42
"Superior univ. incompleto (037)",381,,,,52,151,65,94,19
"Superior univ. completo (038)",908,,,,,178,330,323,77
"Hombres (040)",5324,182,403,466,534,1077,847,1247,568
"Sin nivel (041)",309,182,22,2,2,7,17,28,49
"Educación inicial (042)",110,,107,,,,3,,
"Primaria (043)",1413,,274,274,19,39,99,375,333
"Secundaria (044)",1795,,,190,395,392,330,401,87
"Superior no univ. incompleto (045)",461,,,,93,254,60,45,9
"Superior no univ. completo (046)",501,,,,,205,131,134,31
"Superior univ. incompleto (047)",219,,,,25,82,37,60,15
"Superior univ. completo (048)",516,,,,,98,170,204,44
"Mujeres (050)",4958,164,397,437,475,1038,786,1112,549
"Sin nivel (051)",569,164,30,4,1,2,42,133,193
"Educación inicial (052)",99,,93,1,1,3,1,,
"Primaria (053)",1559,,274,255,13,105,167,490,255
"Secundaria (054)",1339,,,177,322,339,228,221,52
"Superior no univ. incompleto (055)",468,,,,111,277,48,31,1
"Superior no univ. completo (056)",370,,,,,163,112,84,11
"Superior univ. incompleto (057)",162,,,,27,69,28,34,4
"Superior univ. completo (058)",392,,,,,80,160,119,33
,,,,,,,,,
"RURAL (060)",13499,512,1098,1206,1210,2441,2058,3321,1653
"Sin nivel (061)",1746,512,87,17,15,45,114,451,505
"Educación inicial (062)",314,,285,17,2,6,4,,
"Primaria (063)",4586,,726,708,103,305,469,1420,855
"Secundaria (064)",4272,,,464,899,1102,766,893,148
"Superior no univ. incompleto (065)",916,,,,138,414,189,137,38
"Superior no univ. completo (066)",782,,,,,312,266,166,38
"Superior univ. incompleto (067)",379,,,,53,144,86,79,17
"Superior univ. completo (068)",504,,,,,113,164,175,52
"Hombres (070)",7373,236,546,651,649,1419,1223,1771,878
"Sin nivel (071)",550,236,37,9,7,21,35,83,122
"Educación inicial (072)",164,,150,10,1,1,2,,
"Primaria (073)",2352,,359,378,48,122,180,724,541
"Secundaria (074)",2621,,,254,500,644,518,594,111
"Superior no univ. incompleto (075)",585,,,,63,268,137,94,23
"Superior no univ. completo (076)",504,,,,,193,182,104,25
"Superior univ. incompleto (077)",253,,,,30,102,62,49,10
"Superior univ. completo (078)",344,,,,,68,107,123,46
"Mujeres (080)",6126,276,552,555,561,1022,835,1550,775
"Sin nivel (081)",1196,276,50,8,8,24,79,368,383
"Educación inicial (082)",150,,135,7,1,5,2,,
"Primaria (083)",2234,,367,330,55,183,289,696,314
"Secundaria (084)",1651,,,210,399,458,248,299,37
"Superior no univ. incompleto (085)",331,,,,75,146,52,43,15
"Superior no univ. completo (086)",278,,,,,119,84,62,13
"Superior univ. incompleto (087)",126,,,,23,42,24,30,7
"Superior univ. completo (088)",160,,,,,45,57,52,6
