"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHACHAPOYAS (000)",671,14,353,183,94,27
"Sin nivel (001)",17,1,6,4,3,3
"Educación inicial (002)",1,,,1,,
"Primaria (003)",232,12,81,66,53,20
"Secundaria (004)",206,1,124,57,20,4
"Superior no univ. incompleta (005)",31,,20,10,1,
"Superior no univ. completa (006)",99,,65,25,9,
"Superior univ. incompleta (007)",24,,18,5,1,
"Superior univ. completa (008)",61,,39,15,7,
"Hombres (010)",422,8,191,124,78,21
"Sin nivel (011)",9,,4,3,2,
"Educación inicial (012)",1,,,1,,
"Primaria (013)",176,7,51,52,49,17
"Secundaria (014)",146,1,83,43,15,4
"Superior no univ. incompleta (015)",18,,9,8,1,
"Superior no univ. completa (016)",32,,20,7,5,
"Superior univ. incompleta (017)",13,,8,4,1,
"Superior univ. completa (018)",27,,16,6,5,
"Mujeres (020)",249,6,162,59,16,6
"Sin nivel (021)",8,1,2,1,1,3
"Primaria (023)",56,5,30,14,4,3
"Secundaria (024)",60,,41,14,5,
"Superior no univ. incompleta (025)",13,,11,2,,
"Superior no univ. completa (026)",67,,45,18,4,
"Superior univ. incompleta (027)",11,,10,1,,
"Superior univ. completa (028)",34,,23,9,2,
,,,,,,
"Area Urbana (030)",573,9,309,157,79,19
"Sin nivel (031)",14,1,6,3,2,2
"Primaria (033)",156,8,46,49,39,14
"Secundaria (034)",191,,117,51,20,3
"Superior no univ. incompleta (035)",30,,19,10,1,
"Superior no univ. completa (036)",97,,64,24,9,
"Superior univ. incompleta (037)",24,,18,5,1,
"Superior univ. completa (038)",61,,39,15,7,
"Hombres (040)",346,5,163,99,64,15
"Sin nivel (041)",8,,4,2,2,
"Primaria (043)",117,5,29,36,35,12
"Secundaria (044)",134,,79,37,15,3
"Superior no univ. incompleta (045)",17,,8,8,1,
"Superior no univ. completa (046)",30,,19,6,5,
"Superior univ. incompleta (047)",13,,8,4,1,
"Superior univ. completa (048)",27,,16,6,5,
"Mujeres (050)",227,4,146,58,15,4
"Sin nivel (051)",6,1,2,1,,2
"Primaria (053)",39,3,17,13,4,2
"Secundaria (054)",57,,38,14,5,
"Superior no univ. incompleta (055)",13,,11,2,,
"Superior no univ. completa (056)",67,,45,18,4,
"Superior univ. incompleta (057)",11,,10,1,,
"Superior univ. completa (058)",34,,23,9,2,
,,,,,,
"Area Rural (060)",98,5,44,26,15,8
"Sin nivel (061)",3,,,1,1,1
"Educación inicial (062)",1,,,1,,
"Primaria (063)",76,4,35,17,14,6
"Secundaria (064)",15,1,7,6,,1
"Superior no univ. incompleta (065)",1,,1,,,
"Superior no univ. completa (066)",2,,1,1,,
"Hombres (070)",76,3,28,25,14,6
"Sin nivel (071)",1,,,1,,
"Educación inicial (072)",1,,,1,,
"Primaria (073)",59,2,22,16,14,5
"Secundaria (074)",12,1,4,6,,1
"Superior no univ. incompleta (075)",1,,1,,,
"Superior no univ. completa (076)",2,,1,1,,
"Mujeres (080)",22,2,16,1,1,2
"Sin nivel (081)",2,,,,1,1
"Primaria (083)",17,2,13,1,,1
"Secundaria (084)",3,,3,,,
