"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SAN PABLO (000)",6729,210,2308,2174,1524,513
"Empleado (001)",679,2,135,363,172,7
"Obrero (002)",1169,6,412,391,265,95
"Trabajador independiente (003)",2832,19,701,959,855,298
"Empleador o patrono (004)",24,,5,6,6,7
"Trabajador familiar no remunerado (005)",1144,141,537,244,143,79
"Trabajador del hogar (006)",75,4,35,18,14,4
"Desocupado (008)",806,38,483,193,69,23
"Hombres (009)",5211,114,1761,1657,1232,447
"Empleado (010)",412,2,78,206,123,3
"Obrero (011)",1054,5,377,350,234,88
"Trabajador independiente (012)",2344,11,556,786,722,269
"Empleador o patrono (013)",18,,3,6,3,6
"Trabajador familiar no remunerado (014)",772,76,403,147,87,59
"Trabajador del hogar (015)",4,1,2,,1,
"Desocupado (017)",607,19,342,162,62,22
"Mujeres (018)",1518,96,547,517,292,66
"Empleado (019)",267,,57,157,49,4
"Obrero (020)",115,1,35,41,31,7
"Trabajador independiente (021)",488,8,145,173,133,29
"Empleador o patrono (022)",6,,2,,3,1
"Trabajador familiar no remunerado (023)",372,65,134,97,56,20
"Trabajador del hogar (024)",71,3,33,18,13,4
"Desocupado (026)",199,19,141,31,7,1
,,,,,,
"URBANA (027)",1316,21,351,561,315,68
"Empleado (028)",447,1,64,262,117,3
"Obrero (029)",228,1,77,80,53,17
"Trabajador independiente (030)",399,4,103,145,113,34
"Empleador o patrono (031)",8,,,3,2,3
"Trabajador familiar no remunerado (032)",77,13,30,15,12,7
"Trabajador del hogar (033)",25,1,9,6,8,1
"Desocupado (035)",132,1,68,50,10,3
"Hombres (036)",844,11,236,335,211,51
"Empleado (037)",251,1,39,129,81,1
"Obrero (038)",199,1,70,67,46,15
"Trabajador independiente (039)",249,2,61,90,71,25
"Empleador o patrono (040)",7,,,3,1,3
"Trabajador familiar no remunerado (041)",42,7,17,9,4,5
"Desocupado (044)",96,,49,37,8,2
"Mujeres (045)",472,10,115,226,104,17
"Empleado (046)",196,,25,133,36,2
"Obrero (047)",29,,7,13,7,2
"Trabajador independiente (048)",150,2,42,55,42,9
"Empleador o patrono (049)",1,,,,1,
"Trabajador familiar no remunerado (050)",35,6,13,6,8,2
"Trabajador del hogar (051)",25,1,9,6,8,1
"Desocupado (053)",36,1,19,13,2,1
,,,,,,
"RURAL (054)",5413,189,1957,1613,1209,445
"Empleado (055)",232,1,71,101,55,4
"Obrero (056)",941,5,335,311,212,78
"Trabajador independiente (057)",2433,15,598,814,742,264
"Empleador o patrono (058)",16,,5,3,4,4
"Trabajador familiar no remunerado (059)",1067,128,507,229,131,72
"Trabajador del hogar (060)",50,3,26,12,6,3
"Desocupado (062)",674,37,415,143,59,20
"Hombres (063)",4367,103,1525,1322,1021,396
"Empleado (064)",161,1,39,77,42,2
"Obrero (065)",855,4,307,283,188,73
"Trabajador independiente (066)",2095,9,495,696,651,244
"Empleador o patrono (067)",11,,3,3,2,3
"Trabajador familiar no remunerado (068)",730,69,386,138,83,54
"Trabajador del hogar (069)",4,1,2,,1,
"Desocupado (071)",511,19,293,125,54,20
"Mujeres (072)",1046,86,432,291,188,49
"Empleado (073)",71,,32,24,13,2
"Obrero (074)",86,1,28,28,24,5
"Trabajador independiente (075)",338,6,103,118,91,20
"Empleador o patrono (076)",5,,2,,2,1
"Trabajador familiar no remunerado (077)",337,59,121,91,48,18
"Trabajador del hogar (078)",46,2,24,12,5,3
"Desocupado (080)",163,18,122,18,5,
