"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia GRAU (000)",6167,76,1632,2206,1651,602
"Empleado (001)",1109,3,265,546,286,9
"Obrero (002)",927,10,342,337,197,41
"Trabajador independiente (003)",2783,4,486,951,897,445
"Empleador o patrono (004)",55,,11,14,21,9
"Trabajador familiar no remunerado (005)",856,47,299,227,198,85
"Trabajador del hogar (006)",60,9,40,7,4,
"Desocupado (008)",377,3,189,124,48,13
"Hombres (009)",4542,49,1156,1624,1266,447
"Empleado (010)",726,1,149,357,212,7
"Obrero (011)",848,8,308,308,185,39
"Trabajador independiente (012)",2170,3,358,738,722,349
"Empleador o patrono (013)",45,,10,11,18,6
"Trabajador familiar no remunerado (014)",436,30,185,105,83,33
"Trabajador del hogar (015)",11,5,6,,,
"Desocupado (017)",306,2,140,105,46,13
"Mujeres (018)",1625,27,476,582,385,155
"Empleado (019)",383,2,116,189,74,2
"Obrero (020)",79,2,34,29,12,2
"Trabajador independiente (021)",613,1,128,213,175,96
"Empleador o patrono (022)",10,,1,3,3,3
"Trabajador familiar no remunerado (023)",420,17,114,122,115,52
"Trabajador del hogar (024)",49,4,34,7,4,
"Desocupado (026)",71,1,49,19,2,
,,,,,,
"URBANA (027)",2876,42,823,1097,713,201
"Empleado (028)",866,2,192,431,234,7
"Obrero (029)",482,7,199,173,86,17
"Trabajador independiente (030)",994,4,206,355,300,129
"Empleador o patrono (031)",24,,7,8,6,3
"Trabajador familiar no remunerado (032)",281,18,100,65,60,38
"Trabajador del hogar (033)",47,8,31,6,2,
"Desocupado (035)",182,3,88,59,25,7
"Hombres (036)",1922,31,522,738,498,133
"Empleado (037)",547,1,102,274,165,5
"Obrero (038)",435,6,175,158,81,15
"Trabajador independiente (039)",646,3,123,225,204,91
"Empleador o patrono (040)",14,,6,5,3,
"Trabajador familiar no remunerado (041)",128,15,52,26,20,15
"Trabajador del hogar (042)",9,4,5,,,
"Desocupado (044)",143,2,59,50,25,7
"Mujeres (045)",954,11,301,359,215,68
"Empleado (046)",319,1,90,157,69,2
"Obrero (047)",47,1,24,15,5,2
"Trabajador independiente (048)",348,1,83,130,96,38
"Empleador o patrono (049)",10,,1,3,3,3
"Trabajador familiar no remunerado (050)",153,3,48,39,40,23
"Trabajador del hogar (051)",38,4,26,6,2,
"Desocupado (053)",39,1,29,9,,
,,,,,,
"RURAL (054)",3291,34,809,1109,938,401
"Empleado (055)",243,1,73,115,52,2
"Obrero (056)",445,3,143,164,111,24
"Trabajador independiente (057)",1789,,280,596,597,316
"Empleador o patrono (058)",31,,4,6,15,6
"Trabajador familiar no remunerado (059)",575,29,199,162,138,47
"Trabajador del hogar (060)",13,1,9,1,2,
"Desocupado (062)",195,,101,65,23,6
"Hombres (063)",2620,18,634,886,768,314
"Empleado (064)",179,,47,83,47,2
"Obrero (065)",413,2,133,150,104,24
"Trabajador independiente (066)",1524,,235,513,518,258
"Empleador o patrono (067)",31,,4,6,15,6
"Trabajador familiar no remunerado (068)",308,15,133,79,63,18
"Trabajador del hogar (069)",2,1,1,,,
"Desocupado (071)",163,,81,55,21,6
"Mujeres (072)",671,16,175,223,170,87
"Empleado (073)",64,1,26,32,5,
"Obrero (074)",32,1,10,14,7,
"Trabajador independiente (075)",265,,45,83,79,58
"Trabajador familiar no remunerado (077)",267,14,66,83,75,29
"Trabajador del hogar (078)",11,,8,1,2,
"Desocupado (080)",32,,20,10,2,
