"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia JULCAN (000)",7994,7749,23,1358,1313,1164,1850,1152,674,215,245,31078
"De 12 a 14 años (001)",10,3,1,2,,,,,,,7,2
"De 15 a 19 años (002)",252,239,2,195,40,,2,,,,13,283
"De 20 a 24 años (003)",912,826,3,415,275,100,31,2,,,86,1403
"De 25 a 29 años (004)",966,904,3,238,282,202,166,13,,,62,2194
"De 30 a 34 años (005)",958,932,,148,238,237,237,55,16,1,26,2855
"De 35 a 39 años (006)",999,981,,105,154,163,349,152,52,6,18,3907
"De 40 a 44 años (007)",796,786,4,55,96,131,260,164,65,11,10,3539
"De 45 a 49 años (008)",647,644,3,42,60,82,183,145,83,46,3,3364
"De 50 y más años (009)",2454,2434,7,158,168,249,622,621,458,151,20,13531
"PEA (010)",744,686,1,164,140,111,128,87,44,11,58,2400
"De 15 a 19 años (012)",17,16,1,12,3,,,,,,1,18
"De 20 a 24 años (013)",83,62,,36,17,6,3,,,,21,100
"De 25 a 29 años (014)",92,72,,34,20,14,4,,,,20,134
"De 30 a 34 años (015)",102,96,,29,32,25,9,,1,,6,217
"De 35 a 39 años (016)",123,117,,23,33,19,29,12,1,,6,360
"De 40 a 44 años (017)",86,83,,9,15,13,27,13,6,,3,336
"De 45 a 49 años (018)",63,62,,6,8,14,14,16,4,,1,267
"De 50 y más años (019)",178,178,,15,12,20,42,46,32,11,,968
"Ocupada (020)",701,649,1,149,136,107,122,80,43,11,52,2287
"De 15 a 19 años (022)",15,14,1,10,3,,,,,,1,16
"De 20 a 24 años (023)",75,60,,34,17,6,3,,,,15,98
"De 25 a 29 años (024)",86,66,,29,19,14,4,,,,20,127
