"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",16623,325,4863,4501,3392,2514,1028
"Casa independiente (001)",16246,320,4761,4388,3319,2456,1002
"Departamento en edificio (002)",15,,4,4,3,3,1
"Vivienda en quinta (003)",46,1,17,12,11,5,
"Vivienda en casa de vecindad (004)",25,,7,12,4,2,
"Choza o cabaña (005)",246,4,63,67,48,42,22
"Vivienda improvisada (006)",1,,,1,,,
"Local no destinado para hab.humana (007)",21,,3,6,5,6,1
"Otro tipo (008)",23,,8,11,2,,2
,,,,,,,
"URBANA (009)",12960,277,3894,3642,2600,1890,657
"Casa independiente (010)",12833,276,3857,3596,2577,1874,653
"Departamento en edificio (011)",15,,4,4,3,3,1
"Vivienda en quinta (012)",46,1,17,12,11,5,
"Vivienda en casa de vecindad (013)",25,,7,12,4,2,
"Vivienda improvisada (015)",1,,,1,,,
"Local no destinado para hab.humana (016)",17,,1,6,3,6,1
"Otro tipo (017)",23,,8,11,2,,2
,,,,,,,
"RURAL (018)",3663,48,969,859,792,624,371
"Casa independiente (019)",3413,44,904,792,742,582,349
"Choza o cabaña (023)",246,4,63,67,48,42,22
"Local no destinado para hab.humana (025)",4,,2,,2,,
