"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ZARUMILLA (000)",10677,119,4225,3219,973,345,161,39,3,,1593
"Catolica (001)",8767,93,3453,2635,813,285,136,31,2,,1319
"Cristiana / Evangelica (002)",1424,18,569,458,118,41,20,5,1,,194
"Otra (003)",278,3,102,81,28,13,4,,,,47
"Ninguna (004)",208,5,101,45,14,6,1,3,,,33
,,,,,,,,,,,
"URBANA (006)",9761,104,3815,2946,919,323,153,37,3,,1461
"Catolica (007)",8046,82,3135,2413,769,268,129,30,2,,1218
"Cristiana / Evangelica (008)",1271,14,505,414,110,36,19,4,1,,168
"Otra (009)",257,3,88,77,28,13,4,,,,44
"Ninguna (010)",187,5,87,42,12,6,1,3,,,31
,,,,,,,,,,,
"RURAL (012)",916,15,410,273,54,22,8,2,,,132
"Catolica (013)",721,11,318,222,44,17,7,1,,,101
"Cristiana / Evangelica (014)",153,4,64,44,8,5,1,1,,,26
"Otra (015)",21,,14,4,,,,,,,3
"Ninguna (016)",21,,14,3,2,,,,,,2
