"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",9796,297,3250,3242,2304,703
"Empleado (001)",1068,2,271,521,265,9
"Obrero (002)",1666,35,683,497,358,93
"Trabajador independiente (003)",4678,34,1140,1707,1334,463
"Empleador o patrono (004)",240,,55,88,68,29
"Trabajador familiar no remunerado (005)",1801,200,927,349,230,95
"Trabajador del hogar (006)",135,14,79,24,14,4
"Desocupado (008)",208,12,95,56,35,10
"Hombres (009)",7974,219,2663,2548,1906,638
"Empleado (010)",614,2,136,283,184,9
"Obrero (011)",1457,28,618,422,307,82
"Trabajador independiente (012)",4127,30,1020,1486,1160,431
"Empleador o patrono (013)",203,,48,74,57,24
"Trabajador familiar no remunerado (014)",1423,153,781,236,169,84
"Trabajador del hogar (015)",3,1,1,1,,
"Desocupado (017)",147,5,59,46,29,8
"Mujeres (018)",1822,78,587,694,398,65
"Empleado (019)",454,,135,238,81,
"Obrero (020)",209,7,65,75,51,11
"Trabajador independiente (021)",551,4,120,221,174,32
"Empleador o patrono (022)",37,,7,14,11,5
"Trabajador familiar no remunerado (023)",378,47,146,113,61,11
"Trabajador del hogar (024)",132,13,78,23,14,4
"Desocupado (026)",61,7,36,10,6,2
,,,,,,
"URBANA (027)",3359,58,888,1286,892,235
"Empleado (028)",821,1,195,402,215,8
"Obrero (029)",393,8,156,131,80,18
"Trabajador independiente (030)",1477,9,269,580,464,155
"Empleador o patrono (031)",62,,9,25,23,5
"Trabajador familiar no remunerado (032)",398,28,158,94,80,38
"Trabajador del hogar (033)",88,8,54,15,8,3
"Desocupado (035)",120,4,47,39,22,8
"Hombres (036)",2373,39,626,860,652,196
"Empleado (037)",469,1,101,213,146,8
"Obrero (038)",339,7,143,110,63,16
"Trabajador independiente (039)",1156,9,217,435,361,134
"Empleador o patrono (040)",49,,8,19,19,3
"Trabajador familiar no remunerado (041)",269,21,122,51,46,29
"Trabajador del hogar (042)",1,,1,,,
"Desocupado (044)",90,1,34,32,17,6
"Mujeres (045)",986,19,262,426,240,39
"Empleado (046)",352,,94,189,69,
"Obrero (047)",54,1,13,21,17,2
"Trabajador independiente (048)",321,,52,145,103,21
"Empleador o patrono (049)",13,,1,6,4,2
"Trabajador familiar no remunerado (050)",129,7,36,43,34,9
"Trabajador del hogar (051)",87,8,53,15,8,3
"Desocupado (053)",30,3,13,7,5,2
,,,,,,
"RURAL (054)",6437,239,2362,1956,1412,468
"Empleado (055)",247,1,76,119,50,1
"Obrero (056)",1273,27,527,366,278,75
"Trabajador independiente (057)",3201,25,871,1127,870,308
"Empleador o patrono (058)",178,,46,63,45,24
"Trabajador familiar no remunerado (059)",1403,172,769,255,150,57
"Trabajador del hogar (060)",47,6,25,9,6,1
"Desocupado (062)",88,8,48,17,13,2
"Hombres (063)",5601,180,2037,1688,1254,442
"Empleado (064)",145,1,35,70,38,1
"Obrero (065)",1118,21,475,312,244,66
"Trabajador independiente (066)",2971,21,803,1051,799,297
"Empleador o patrono (067)",154,,40,55,38,21
"Trabajador familiar no remunerado (068)",1154,132,659,185,123,55
"Trabajador del hogar (069)",2,1,,1,,
"Desocupado (071)",57,4,25,14,12,2
"Mujeres (072)",836,59,325,268,158,26
"Empleado (073)",102,,41,49,12,
"Obrero (074)",155,6,52,54,34,9
"Trabajador independiente (075)",230,4,68,76,71,11
"Empleador o patrono (076)",24,,6,8,7,3
"Trabajador familiar no remunerado (077)",249,40,110,70,27,2
"Trabajador del hogar (078)",45,5,25,8,6,1
"Desocupado (080)",31,4,23,3,1,
