"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia PUNO (000)",105794,64217,2890,905,34369,877,82,294,337,1823
"Hombres (001)",44399,33744,1842,448,6486,418,36,154,316,955
"Mujeres (002)",61395,30473,1048,457,27883,459,46,140,21,868
"De 06 a 14 años (003)",40532,39572,,,413,220,1,35,,291
"Hombres (004)",21006,20549,,,188,115,1,19,,134
"Mujeres (005)",19526,19023,,,225,105,,16,,157
"De 15 a 29 años (006)",33882,23668,30,180,9042,,36,49,333,544
"Hombres (007)",15120,12649,18,83,1729,,13,29,312,287
"Mujeres (008)",18762,11019,12,97,7313,,23,20,21,257
"De 30 a 44 años (009)",10793,760,67,177,9386,,22,47,4,330
"Hombres (010)",2043,440,32,90,1240,,13,28,4,196
"Mujeres (011)",8750,320,35,87,8146,,9,19,,134
"De 45 a 64 años (012)",10872,204,1182,288,8846,5,19,48,,280
"Hombres (013)",2605,100,665,139,1510,2,8,23,,158
"Mujeres (014)",8267,104,517,149,7336,3,11,25,,122
"De 65 y más años (015)",9715,13,1611,260,6682,652,4,115,,378
"Hombres (016)",3625,6,1127,136,1819,301,1,55,,180
"Mujeres (017)",6090,7,484,124,4863,351,3,60,,198
,,,,,,,,,,
"AREA URBANA (018)",65343,41103,2293,693,19298,403,69,111,311,1062
"Hombres (019)",27674,21261,1435,330,3551,174,28,54,290,551
"Mujeres (020)",37669,19842,858,363,15747,229,41,57,21,511
"De 06 a 14 años (021)",23790,23216,,,300,115,1,10,,148
"Hombres (022)",12222,11951,,,142,59,1,4,,65
"Mujeres (023)",11568,11265,,,158,56,,6,,83
"De 15 a 29 años (024)",23518,17130,27,142,5466,,31,23,307,392
"Hombres (025)",10578,8881,16,59,1110,,10,15,286,201
"Mujeres (026)",12940,8249,11,83,4356,,21,8,21,191
"De 30 a 44 años (027)",7099,652,55,135,6021,,19,23,4,190
"Hombres (028)",1362,374,25,67,751,,11,15,4,115
"Mujeres (029)",5737,278,30,68,5270,,8,8,,75
"De 45 a 64 años (030)",6420,95,1044,243,4839,3,16,15,,165
"Hombres (031)",1682,50,578,114,829,2,6,6,,97
"Mujeres (032)",4738,45,466,129,4010,1,10,9,,68
"De 65 y más años (033)",4516,10,1167,173,2672,285,2,40,,167
"Hombres (034)",1830,5,816,90,719,113,,14,,73
"Mujeres (035)",2686,5,351,83,1953,172,2,26,,94
,,,,,,,,,,
"AREA RURAL (036)",40451,23114,597,212,15071,474,13,183,26,761
"Hombres (037)",16725,12483,407,118,2935,244,8,100,26,404
"Mujeres (038)",23726,10631,190,94,12136,230,5,83,,357
"De 06 a 14 años (039)",16742,16356,,,113,105,,25,,143
"Hombres (040)",8784,8598,,,46,56,,15,,69
"Mujeres (041)",7958,7758,,,67,49,,10,,74
"De 15 a 29 años (042)",10364,6538,3,38,3576,,5,26,26,152
"Hombres (043)",4542,3768,2,24,619,,3,14,26,86
"Mujeres (044)",5822,2770,1,14,2957,,2,12,,66
"De 30 a 44 años (045)",3694,108,12,42,3365,,3,24,,140
"Hombres (046)",681,66,7,23,489,,2,13,,81
"Mujeres (047)",3013,42,5,19,2876,,1,11,,59
"De 45 a 64 años (048)",4452,109,138,45,4007,2,3,33,,115
"Hombres (049)",923,50,87,25,681,,2,17,,61
"Mujeres (050)",3529,59,51,20,3326,2,1,16,,54
"De 65 y más años (051)",5199,3,444,87,4010,367,2,75,,211
"Hombres (052)",1795,1,311,46,1100,188,1,41,,107
"Mujeres (053)",3404,2,133,41,2910,179,1,34,,104
