"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CUSCO (000)",10555,10551,4
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",5201,5201,
"Casa pensión (003)",96,96,
"Hospital, clinica (004)",1119,1119,
"Cárcel, centro de readaptación social (005)",110,110,
"Asilo (006)",237,237,
"Aldea infantil, orfelinato, etc (007)",672,672,
"Otro (008)",673,673,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",2447,2443,4
