"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia HUALLAGA (000)",11098,8839,2259
"De 3 a 5 años (001)",1712,99,1613
"De 6 a 11 años (002)",3228,2737,491
"De 12 a 16 años (003)",2997,2950,47
"De 17 a 24 años (004)",3161,3053,108
"Hombres (005)",5745,4567,1178
"De 3 a 5 años (006)",900,62,838
"De 6 a 11 años (007)",1661,1387,274
"De 12 a 16 años (008)",1598,1570,28
"De 17 a 24 años (009)",1586,1548,38
"Mujeres (010)",5353,4272,1081
"De 3 a 5 años (011)",812,37,775
"De 6 a 11 años (012)",1567,1350,217
"De 12 a 16 años (013)",1399,1380,19
"De 17 a 24 años (014)",1575,1505,70
,,,
"URBANA (015)",5467,4591,876
"De 3 a 5 años (016)",751,72,679
"De 6 a 11 años (017)",1458,1307,151
"De 12 a 16 años (018)",1777,1762,15
"De 17 a 24 años (019)",1481,1450,31
"Hombres (020)",2781,2327,454
"De 3 a 5 años (021)",395,47,348
"De 6 a 11 años (022)",736,653,83
"De 12 a 16 años (023)",914,904,10
"De 17 a 24 años (024)",736,723,13
"Mujeres (025)",2686,2264,422
"De 3 a 5 años (026)",356,25,331
"De 6 a 11 años (027)",722,654,68
"De 12 a 16 años (028)",863,858,5
"De 17 a 24 años (029)",745,727,18
,,,
"RURAL (030)",5631,4248,1383
"De 3 a 5 años (031)",961,27,934
"De 6 a 11 años (032)",1770,1430,340
"De 12 a 16 años (033)",1220,1188,32
"De 17 a 24 años (034)",1680,1603,77
"Hombres (035)",2964,2240,724
"De 3 a 5 años (036)",505,15,490
"De 6 a 11 años (037)",925,734,191
"De 12 a 16 años (038)",684,666,18
"De 17 a 24 años (039)",850,825,25
"Mujeres (040)",2667,2008,659
"De 3 a 5 años (041)",456,12,444
"De 6 a 11 años (042)",845,696,149
"De 12 a 16 años (043)",536,522,14
"De 17 a 24 años (044)",830,778,52
