"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUALLAGA (000)",6212,169,3167,1650,447,140,88,25,2,,524
"Sin Nivel (001)",613,39,318,133,29,10,20,4,1,,59
"Educación Inicial (002)",9,,3,4,,,,,,,2
"Primaria (003)",3635,117,2065,887,178,56,43,18,,,271
"Secundaria (004)",1452,11,690,454,118,35,10,2,,,132
"Sup. no Univ. Incompleta (005)",99,1,27,44,10,4,2,,,,11
"Sup. no Univ. Completa (006)",214,,36,75,56,16,8,1,,,22
"Sup. Univ. Incompleta (007)",44,1,13,13,10,,,,,,7
"Sup. Univ. Completa (008)",146,,15,40,46,19,5,,1,,20
,,,,,,,,,,,
"URBANA (010)",3741,82,1755,1077,327,110,54,18,2,,316
"Sin Nivel (011)",180,11,82,44,9,3,6,2,1,,22
"Educación Inicial (012)",4,,2,,,,,,,,2
"Primaria (013)",1991,59,1088,510,110,42,27,13,,,142
"Secundaria (014)",1098,10,501,362,92,30,7,2,,,94
"Sup. no Univ. Incompleta (015)",87,1,22,39,9,4,2,,,,10
"Sup. no Univ. Completa (016)",196,,33,69,53,13,7,1,,,20
"Sup. Univ. Incompleta (017)",43,1,13,13,10,,,,,,6
"Sup. Univ. Completa (018)",142,,14,40,44,18,5,,1,,20
,,,,,,,,,,,
"RURAL (020)",2471,87,1412,573,120,30,34,7,,,208
"Sin Nivel (021)",433,28,236,89,20,7,14,2,,,37
"Educación Inicial (022)",5,,1,4,,,,,,,
"Primaria (023)",1644,58,977,377,68,14,16,5,,,129
"Secundaria (024)",354,1,189,92,26,5,3,,,,38
"Sup. no Univ. Incompleta (025)",12,,5,5,1,,,,,,1
"Sup. no Univ. Completa (026)",18,,3,6,3,3,1,,,,2
"Sup. Univ. Incompleta (027)",1,,,,,,,,,,1
"Sup. Univ. Completa (028)",4,,1,,2,1,,,,,
