"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUARI (000)",15743,101,4832,5699,3842,1269
"Agric., ganadería, caza y silvicultura (001)",6561,61,1803,1865,1924,908
"Pesca (002)",4,,1,2,1,
"Explotación de minas y canteras (003)",1066,,352,578,133,3
"Industrias manufactureras (004)",377,,132,136,77,32
"Suministro de electricidad, gas y agua (005)",81,1,35,25,15,5
"Construcción (006)",1798,9,635,675,408,71
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1080,13,310,435,261,61
"Venta, mant.y rep. veh.autom.y motoc. (008)",174,,69,76,27,2
"Comercio al por mayor (009)",43,,11,21,11,
"Comercio al por menor (010)",863,13,230,338,223,59
"Hoteles y restaurantes (011)",426,6,199,122,81,18
"Trans., almac. y comunicaciones (012)",336,4,145,125,55,7
"Intermediación financiera (013)",7,,5,2,,
"Activid.inmobil., empres. y alquileres (014)",556,1,242,251,57,5
"Admin.pub. y defensa; p. segur.soc.afil (015)",657,,242,245,154,16
"Enseñanza (016)",1259,,193,734,327,5
"Servicios sociales y de salud (017)",234,,67,121,45,1
"Otras activ. serv.comun.soc y personales (018)",443,3,190,146,87,17
"Hogares privados con servicio doméstico (019)",223,3,101,55,47,17
"Actividad economica no especificada (021)",635,,180,182,170,103
"Hombres (022)",12904,75,3926,4642,3171,1090
"Agric., ganadería, caza y silvicultura (023)",6115,49,1676,1751,1783,856
"Pesca (024)",4,,1,2,1,
"Explotación de minas y canteras (025)",1029,,326,568,132,3
"Industrias manufactureras (026)",338,,115,126,67,30
"Suministro de electricidad, gas y agua (027)",79,1,33,25,15,5
"Construcción (028)",1727,9,608,650,394,66
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",657,10,203,256,151,37
"Venta, mant.y rep. veh.autom.y motoc. (030)",170,,69,72,27,2
"Comercio al por mayor (031)",24,,5,12,7,
"Comercio al por menor (032)",463,10,129,172,117,35
"Hoteles y restaurantes (033)",163,1,87,44,24,7
"Trans., almac. y comunicaciones (034)",308,4,124,122,51,7
"Intermediación financiera (035)",5,,3,2,,
"Activid.inmobil., empres. y alquileres (036)",497,,213,229,51,4
"Admin.pub. y defensa; p. segur.soc.afil (037)",538,,189,203,133,13
"Enseñanza (038)",749,,99,432,214,4
"Servicios sociales y de salud (039)",93,,18,47,28,
"Otras activ. serv.comun.soc y personales (040)",329,,142,107,67,13
