"CUADRO Nº 10: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA",
,,SI,NO
,,,
"Provincia BARRANCA",,,
"Viviendas particulares (001)",26809,21749,5060
"Ocupantes presentes (002)",111031,90059,20972
"Casa independiente",,,
"Viviendas particulares (004)",25042,20174,4868
"Ocupantes presentes (005)",104592,84377,20215
"Departamento en edificio",,,
"Viviendas particulares (007)",478,448,30
"Ocupantes presentes (008)",1601,1492,109
"Vivienda en quinta",,,
"Viviendas particulares (010)",633,584,49
"Ocupantes presentes (011)",2394,2201,193
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",493,441,52
"Ocupantes presentes (014)",1846,1636,210
"Choza o cabaña",,,
"Viviendas particulares (016)",15,9,6
"Ocupantes presentes (017)",70,44,26
"Vivienda improvisada",,,
"Viviendas particulares (019)",108,60,48
"Ocupantes presentes (020)",426,228,198
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",38,31,7
"Ocupantes presentes (023)",100,79,21
"Otro tipo",,,
"Viviendas particulares (025)",2,2,
"Ocupantes presentes (026)",2,2,
,,,
URBANA,,,
"Viviendas particulares (028)",25349,20518,4831
"Ocupantes presentes (029)",105194,85145,20049
"Casa independiente",,,
"Viviendas particulares (031)",23598,18953,4645
"Ocupantes presentes (032)",98828,79510,19318
"Departamento en edificio",,,
"Viviendas particulares (034)",478,448,30
"Ocupantes presentes (035)",1601,1492,109
"Vivienda en quinta",,,
"Viviendas particulares (037)",633,584,49
"Ocupantes presentes (038)",2394,2201,193
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",493,441,52
"Ocupantes presentes (041)",1846,1636,210
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",108,60,48
"Ocupantes presentes (047)",426,228,198
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",37,30,7
"Ocupantes presentes (050)",97,76,21
"Otro tipo",,,
"Viviendas particulares (052)",2,2,
"Ocupantes presentes (053)",2,2,
,,,
RURAL,,,
"Viviendas particulares (055)",1460,1231,229
"Ocupantes presentes (056)",5837,4914,923
"Casa independiente",,,
"Viviendas particulares (058)",1444,1221,223
"Ocupantes presentes (059)",5764,4867,897
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",15,9,6
"Ocupantes presentes (071)",70,44,26
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",1,1,
"Ocupantes presentes (077)",3,3,
"Otro tipo",,,
