"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CUTERVO (000)",38608,4069,6435,19172,453,7373,1106
"Conviviente (001)",13939,1163,2509,8058,143,1740,326
"Separado(a) (002)",991,143,149,510,9,114,66
"Casado(a) (003)",11658,1600,1678,6728,223,1224,205
"Viudo(a) (004)",963,32,141,619,13,114,44
"Divorciado(a) (005)",160,24,17,94,1,18,6
"Soltero(a) (006)",10897,1107,1941,3163,64,4163,459
"Hombres (008)",31208,2361,5769,17030,399,5617,32
"Conviviente (009)",11782,729,2274,7508,138,1123,10
"Separado(a) (010)",393,38,79,239,4,33,
"Casado(a) (011)",9703,992,1541,6170,201,793,6
"Viudo(a) (012)",533,10,80,383,7,53,
"Divorciado(a) (013)",88,7,11,62,,8,
"Soltero(a) (014)",8709,585,1784,2668,49,3607,16
"Mujeres (016)",7400,1708,666,2142,54,1756,1074
"Conviviente (017)",2157,434,235,550,5,617,316
"Separado(a) (018)",598,105,70,271,5,81,66
"Casado(a) (019)",1955,608,137,558,22,431,199
"Viudo(a) (020)",430,22,61,236,6,61,44
"Divorciado(a) (021)",72,17,6,32,1,10,6
"Soltero(a) (022)",2188,522,157,495,15,556,443
,,,,,,,
"URBANA (024)",8945,3117,1170,3545,108,525,480
"Conviviente (025)",2768,813,470,1197,30,163,95
"Separado(a) (026)",389,124,45,160,3,13,44
"Casado(a) (027)",3110,1301,317,1266,48,126,52
"Viudo(a) (028)",208,26,33,118,4,12,15
"Divorciado(a) (029)",56,23,6,22,1,1,3
"Soltero(a) (030)",2414,830,299,782,22,210,271
"Hombres (032)",5837,1748,1042,2652,79,301,15
"Conviviente (033)",1988,489,423,951,26,93,6
"Separado(a) (034)",121,35,29,53,3,1,
"Casado(a) (035)",2154,785,289,987,33,57,3
"Viudo(a) (036)",80,7,17,51,1,4,
"Divorciado(a) (037)",24,7,5,12,,,
"Soltero(a) (038)",1470,425,279,598,16,146,6
"Mujeres (040)",3108,1369,128,893,29,224,465
"Conviviente (041)",780,324,47,246,4,70,89
"Separado(a) (042)",268,89,16,107,,12,44
"Casado(a) (043)",956,516,28,279,15,69,49
"Viudo(a) (044)",128,19,16,67,3,8,15
"Divorciado(a) (045)",32,16,1,10,1,1,3
"Soltero(a) (046)",944,405,20,184,6,64,265
,,,,,,,
"RURAL (048)",29663,952,5265,15627,345,6848,626
"Conviviente (049)",11171,350,2039,6861,113,1577,231
"Separado(a) (050)",602,19,104,350,6,101,22
"Casado(a) (051)",8548,299,1361,5462,175,1098,153
"Viudo(a) (052)",755,6,108,501,9,102,29
"Divorciado(a) (053)",104,1,11,72,,17,3
"Soltero(a) (054)",8483,277,1642,2381,42,3953,188
"Hombres (056)",25371,613,4727,14378,320,5316,17
"Conviviente (057)",9794,240,1851,6557,112,1030,4
"Separado(a) (058)",272,3,50,186,1,32,
"Casado(a) (059)",7549,207,1252,5183,168,736,3
"Viudo(a) (060)",453,3,63,332,6,49,
"Divorciado(a) (061)",64,,6,50,,8,
"Soltero(a) (062)",7239,160,1505,2070,33,3461,10
"Mujeres (064)",4292,339,538,1249,25,1532,609
"Conviviente (065)",1377,110,188,304,1,547,227
"Separado(a) (066)",330,16,54,164,5,69,22
"Casado(a) (067)",999,92,109,279,7,362,150
"Viudo(a) (068)",302,3,45,169,3,53,29
"Divorciado(a) (069)",40,1,5,22,,9,3
"Soltero(a) (070)",1244,117,137,311,9,492,178
