"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHUCUITO (000)",30747,180,9792,11016,3699,1175,476,189,33,,4187
"Conviviente (001)",6713,45,2239,2446,746,223,70,19,1,,924
"Separado(a) (002)",1004,8,329,324,142,49,22,2,3,,125
"Casado(a) (003)",17283,85,5779,6710,2248,681,288,123,23,,1346
"Viudo(a) (004)",3205,28,1113,1111,386,147,64,30,5,,321
"Divorciado(a) (005)",144,,39,44,23,7,6,2,,,23
"Soltero(a) (006)",2398,14,293,381,154,68,26,13,1,,1448
,,,,,,,,,,,
"URBANA (008)",8215,42,2294,2693,1126,385,149,55,9,,1462
"Conviviente (009)",2469,13,747,890,326,88,28,4,,,373
"Separado(a) (010)",386,1,105,126,52,23,9,2,1,,67
"Casado(a) (011)",3887,19,1156,1378,608,214,79,37,6,,390
"Viudo(a) (012)",618,6,202,176,76,33,21,7,2,,95
"Divorciado(a) (013)",47,,7,19,8,2,2,,,,9
"Soltero(a) (014)",808,3,77,104,56,25,10,5,,,528
,,,,,,,,,,,
"RURAL (016)",22532,138,7498,8323,2573,790,327,134,24,,2725
"Conviviente (017)",4244,32,1492,1556,420,135,42,15,1,,551
"Separado(a) (018)",618,7,224,198,90,26,13,,2,,58
"Casado(a) (019)",13396,66,4623,5332,1640,467,209,86,17,,956
"Viudo(a) (020)",2587,22,911,935,310,114,43,23,3,,226
"Divorciado(a) (021)",97,,32,25,15,5,4,2,,,14
"Soltero(a) (022)",1590,11,216,277,98,43,16,8,1,,920
