"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CHUMBIVILCAS (000)",23119,568,5959,7820,6539,2233
"Empleado (001)",1665,19,453,866,319,8
"Obrero (002)",1791,12,639,648,423,69
"Trabajador independiente (003)",12590,58,2470,4280,4153,1629
"Empleador o patrono (004)",135,,37,42,39,17
"Trabajador familiar no remunerado (005)",6828,467,2293,1971,1595,502
"Trabajador del hogar (006)",110,12,67,13,10,8
"Hombres (008)",14366,312,3475,4920,4208,1451
"Empleado (009)",1052,11,239,557,241,4
"Obrero (010)",1513,10,539,544,365,55
"Trabajador independiente (011)",9366,38,1666,3244,3184,1234
"Empleador o patrono (012)",90,,22,30,27,11
"Trabajador familiar no remunerado (013)",2311,248,991,539,389,144
"Trabajador del hogar (014)",34,5,18,6,2,3
"Mujeres (016)",8753,256,2484,2900,2331,782
"Empleado (017)",613,8,214,309,78,4
"Obrero (018)",278,2,100,104,58,14
"Trabajador independiente (019)",3224,20,804,1036,969,395
"Empleador o patrono (020)",45,,15,12,12,6
"Trabajador familiar no remunerado (021)",4517,219,1302,1432,1206,358
"Trabajador del hogar (022)",76,7,49,7,8,5
,,,,,,
"URBANA (024)",5769,184,1727,2201,1353,304
"Empleado (025)",1319,17,331,711,254,6
"Obrero (026)",757,8,311,267,150,21
"Trabajador independiente (027)",2660,33,692,944,769,222
"Empleador o patrono (028)",49,,18,19,9,3
"Trabajador familiar no remunerado (029)",928,121,332,257,167,51
"Trabajador del hogar (030)",56,5,43,3,4,1
"Hombres (032)",3488,116,985,1336,866,185
"Empleado (033)",819,9,171,449,187,3
"Obrero (034)",671,7,277,237,131,19
"Trabajador independiente (035)",1607,24,375,562,502,144
"Empleador o patrono (036)",28,,6,12,7,3
"Trabajador familiar no remunerado (037)",346,73,145,74,38,16
"Trabajador del hogar (038)",17,3,11,2,1,
"Mujeres (040)",2281,68,742,865,487,119
"Empleado (041)",500,8,160,262,67,3
"Obrero (042)",86,1,34,30,19,2
"Trabajador independiente (043)",1053,9,317,382,267,78
"Empleador o patrono (044)",21,,12,7,2,
"Trabajador familiar no remunerado (045)",582,48,187,183,129,35
"Trabajador del hogar (046)",39,2,32,1,3,1
,,,,,,
"RURAL (048)",17350,384,4232,5619,5186,1929
"Empleado (049)",346,2,122,155,65,2
"Obrero (050)",1034,4,328,381,273,48
"Trabajador independiente (051)",9930,25,1778,3336,3384,1407
"Empleador o patrono (052)",86,,19,23,30,14
"Trabajador familiar no remunerado (053)",5900,346,1961,1714,1428,451
"Trabajador del hogar (054)",54,7,24,10,6,7
"Hombres (056)",10878,196,2490,3584,3342,1266
"Empleado (057)",233,2,68,108,54,1
"Obrero (058)",842,3,262,307,234,36
"Trabajador independiente (059)",7759,14,1291,2682,2682,1090
"Empleador o patrono (060)",62,,16,18,20,8
"Trabajador familiar no remunerado (061)",1965,175,846,465,351,128
"Trabajador del hogar (062)",17,2,7,4,1,3
"Mujeres (064)",6472,188,1742,2035,1844,663
"Empleado (065)",113,,54,47,11,1
"Obrero (066)",192,1,66,74,39,12
"Trabajador independiente (067)",2171,11,487,654,702,317
"Empleador o patrono (068)",24,,3,5,10,6
"Trabajador familiar no remunerado (069)",3935,171,1115,1249,1077,323
"Trabajador del hogar (070)",37,5,17,6,5,4
