"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia AZANGARO (000)",65747,9226,19924,17139,19458
"Asiste actualmente (001)",45822,3276,18918,15872,7756
"No asiste (002)",19925,5950,1006,1267,11702
"Hombres (004)",32922,4629,10074,8731,9488
"Asiste actualmente (005)",23818,1649,9573,8244,4352
"No asiste (006)",9104,2980,501,487,5136
"Mujeres (008)",32825,4597,9850,8408,9970
"Asiste actualmente (009)",22004,1627,9345,7628,3404
"No asiste (010)",10821,2970,505,780,6566
,,,,,
"URBANA (012)",18349,2375,5241,4818,5915
"Asiste actualmente (013)",13775,1039,5023,4602,3111
"No asiste (014)",4574,1336,218,216,2804
"Hombres (016)",9230,1181,2676,2445,2928
"Asiste actualmente (017)",7150,531,2562,2352,1705
"No asiste (018)",2080,650,114,93,1223
"Mujeres (020)",9119,1194,2565,2373,2987
"Asiste actualmente (021)",6625,508,2461,2250,1406
"No asiste (022)",2494,686,104,123,1581
,,,,,
"RURAL (024)",47398,6851,14683,12321,13543
"Asiste actualmente (025)",32047,2237,13895,11270,4645
"No asiste (026)",15351,4614,788,1051,8898
"Hombres (028)",23692,3448,7398,6286,6560
"Asiste actualmente (029)",16668,1118,7011,5892,2647
"No asiste (030)",7024,2330,387,394,3913
"Mujeres (032)",23706,3403,7285,6035,6983
"Asiste actualmente (033)",15379,1119,6884,5378,1998
"No asiste (034)",8327,2284,401,657,4985
