"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia CAJATAMBO",,,,,,,
"Viviendas particulares (001)",2464,529,65,24,99,39,1708
"Ocupantes presentes (002)",8145,1776,199,74,351,133,5612
"Casa independiente",,,,,,,
"Viviendas particulares (004)",2251,508,53,24,99,38,1529
"Ocupantes presentes (005)",7441,1688,171,74,351,132,5025
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",1,1,,,,,
"Ocupantes presentes (008)",5,5,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",11,1,3,,,,7
"Ocupantes presentes (011)",32,4,6,,,,22
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",48,17,4,,,,27
"Ocupantes presentes (014)",201,72,9,,,,120
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",142,,,,,1,141
"Ocupantes presentes (017)",441,,,,,1,440
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",1,,,,,,1
"Ocupantes presentes (020)",1,,,,,,1
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",10,2,5,,,,3
"Ocupantes presentes (023)",24,7,13,,,,4
"Otro tipo",,,,,,,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",1475,515,63,11,56,21,809
"Ocupantes presentes (029)",4977,1751,190,38,217,88,2693
"Casa independiente",,,,,,,
"Viviendas particulares (031)",1407,494,51,11,56,21,774
"Ocupantes presentes (032)",4718,1663,162,38,217,88,2550
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",1,1,,,,,
"Ocupantes presentes (035)",5,5,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",11,1,3,,,,7
"Ocupantes presentes (038)",32,4,6,,,,22
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",48,17,4,,,,27
"Ocupantes presentes (041)",201,72,9,,,,120
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",1,,,,,,1
"Ocupantes presentes (047)",1,,,,,,1
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",7,2,5,,,,
"Ocupantes presentes (050)",20,7,13,,,,
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",989,14,2,13,43,18,899
"Ocupantes presentes (056)",3168,25,9,36,134,45,2919
"Casa independiente",,,,,,,
"Viviendas particulares (058)",844,14,2,13,43,17,755
"Ocupantes presentes (059)",2723,25,9,36,134,44,2475
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",142,,,,,1,141
"Ocupantes presentes (071)",441,,,,,1,440
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",3,,,,,,3
"Ocupantes presentes (077)",4,,,,,,4
"Otro tipo",,,,,,,
