"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CHUPACA (000)",39402,5936,7604,6893,6198,4666,8105
"Conviviente (001)",7566,80,1544,2850,1886,741,465
"Separado(a) (002)",1333,6,109,240,347,267,364
"Casado(a) (003)",12758,14,280,1694,3020,2938,4812
"Viudo(a) (004)",2106,1,4,26,113,222,1740
"Divorciado(a) (005)",146,,4,8,31,31,72
"Soltero(a) (006)",15493,5835,5663,2075,801,467,652
"Hombres (008)",18750,3007,3892,3294,2816,2130,3611
"Conviviente (009)",3718,38,608,1372,999,430,271
"Separado(a) (010)",307,4,17,40,89,59,98
"Casado(a) (011)",6106,7,87,698,1341,1412,2561
"Viudo(a) (012)",516,,2,4,24,40,446
"Divorciado(a) (013)",54,,3,2,16,10,23
"Soltero(a) (014)",8049,2958,3175,1178,347,179,212
"Mujeres (016)",20652,2929,3712,3599,3382,2536,4494
"Conviviente (017)",3848,42,936,1478,887,311,194
"Separado(a) (018)",1026,2,92,200,258,208,266
"Casado(a) (019)",6652,7,193,996,1679,1526,2251
"Viudo(a) (020)",1590,1,2,22,89,182,1294
"Divorciado(a) (021)",92,,1,6,15,21,49
"Soltero(a) (022)",7444,2877,2488,897,454,288,440
,,,,,,,
"URBANA (024)",24164,3462,4731,4386,3964,2878,4743
"Conviviente (025)",4860,47,968,1838,1249,480,278
"Separado(a) (026)",844,4,73,163,247,160,197
"Casado(a) (027)",7736,14,170,1035,1858,1796,2863
"Viudo(a) (028)",1216,1,3,12,69,142,989
"Divorciado(a) (029)",106,,3,6,27,23,47
"Soltero(a) (030)",9402,3396,3514,1332,514,277,369
"Hombres (032)",11607,1761,2387,2146,1845,1352,2116
"Conviviente (033)",2424,22,385,894,680,282,161
"Separado(a) (034)",213,3,15,30,67,42,56
"Casado(a) (035)",3706,7,49,428,829,884,1509
"Viudo(a) (036)",294,,2,2,16,25,249
"Divorciado(a) (037)",44,,3,2,13,9,17
"Soltero(a) (038)",4926,1729,1933,790,240,110,124
"Mujeres (040)",12557,1701,2344,2240,2119,1526,2627
"Conviviente (041)",2436,25,583,944,569,198,117
"Separado(a) (042)",631,1,58,133,180,118,141
"Casado(a) (043)",4030,7,121,607,1029,912,1354
"Viudo(a) (044)",922,1,1,10,53,117,740
"Divorciado(a) (045)",62,,,4,14,14,30
"Soltero(a) (046)",4476,1667,1581,542,274,167,245
,,,,,,,
"RURAL (048)",15238,2474,2873,2507,2234,1788,3362
"Conviviente (049)",2706,33,576,1012,637,261,187
"Separado(a) (050)",489,2,36,77,100,107,167
"Casado(a) (051)",5022,,110,659,1162,1142,1949
"Viudo(a) (052)",890,,1,14,44,80,751
"Divorciado(a) (053)",40,,1,2,4,8,25
"Soltero(a) (054)",6091,2439,2149,743,287,190,283
"Hombres (056)",7143,1246,1505,1148,971,778,1495
"Conviviente (057)",1294,16,223,478,319,148,110
"Separado(a) (058)",94,1,2,10,22,17,42
"Casado(a) (059)",2400,,38,270,512,528,1052
"Viudo(a) (060)",222,,,2,8,15,197
"Divorciado(a) (061)",10,,,,3,1,6
"Soltero(a) (062)",3123,1229,1242,388,107,69,88
"Mujeres (064)",8095,1228,1368,1359,1263,1010,1867
"Conviviente (065)",1412,17,353,534,318,113,77
"Separado(a) (066)",395,1,34,67,78,90,125
"Casado(a) (067)",2622,,72,389,650,614,897
"Viudo(a) (068)",668,,1,12,36,65,554
"Divorciado(a) (069)",30,,1,2,1,7,19
"Soltero(a) (070)",2968,1210,907,355,180,121,195
