"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",40742,7150,7660,7934,6609,4467,6922
"Católica (001)",32710,6017,6388,6431,5279,3453,5142
"Cristiana/Evangélica (002)",6211,865,925,1100,1045,828,1448
"Otra (003)",1001,140,142,168,164,130,257
"Ninguna (004)",820,128,205,235,121,56,75
"Hombres (006)",20966,3692,3941,4291,3485,2300,3257
"Católica (007)",17440,3161,3365,3590,2898,1870,2556
"Cristiana/Evangélica (008)",2616,398,397,495,435,340,551
"Otra (009)",420,63,58,65,70,55,109
"Ninguna (010)",490,70,121,141,82,35,41
"Mujeres (012)",19776,3458,3719,3643,3124,2167,3665
"Católica (013)",15270,2856,3023,2841,2381,1583,2586
"Cristiana/Evangélica (014)",3595,467,528,605,610,488,897
"Otra (015)",581,77,84,103,94,75,148
"Ninguna (016)",330,58,84,94,39,21,34
,,,,,,,
"URBANA (018)",14411,2583,2728,2764,2449,1678,2209
"Católica (019)",11686,2163,2256,2248,1993,1326,1700
"Cristiana/Evangélica (020)",2125,317,329,376,368,301,434
"Otra (021)",188,26,34,35,29,26,38
"Ninguna (022)",412,77,109,105,59,25,37
"Hombres (024)",6815,1286,1301,1296,1179,784,969
"Católica (025)",5652,1083,1091,1067,995,646,770
"Cristiana/Evangélica (026)",861,150,137,161,138,112,163
"Otra (027)",79,11,14,16,9,12,17
"Ninguna (028)",223,42,59,52,37,14,19
"Mujeres (030)",7596,1297,1427,1468,1270,894,1240
"Católica (031)",6034,1080,1165,1181,998,680,930
"Cristiana/Evangélica (032)",1264,167,192,215,230,189,271
"Otra (033)",109,15,20,19,20,14,21
"Ninguna (034)",189,35,50,53,22,11,18
,,,,,,,
"RURAL (036)",26331,4567,4932,5170,4160,2789,4713
"Católica (037)",21024,3854,4132,4183,3286,2127,3442
"Cristiana/Evangélica (038)",4086,548,596,724,677,527,1014
"Otra (039)",813,114,108,133,135,104,219
"Ninguna (040)",408,51,96,130,62,31,38
"Hombres (042)",14151,2406,2640,2995,2306,1516,2288
"Católica (043)",11788,2078,2274,2523,1903,1224,1786
"Cristiana/Evangélica (044)",1755,248,260,334,297,228,388
"Otra (045)",341,52,44,49,61,43,92
"Ninguna (046)",267,28,62,89,45,21,22
"Mujeres (048)",12180,2161,2292,2175,1854,1273,2425
"Católica (049)",9236,1776,1858,1660,1383,903,1656
"Cristiana/Evangélica (050)",2331,300,336,390,380,299,626
"Otra (051)",472,62,64,84,74,61,127
"Ninguna (052)",141,23,34,41,17,10,16
