"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia HUAURA (000)",46882,38281,8601
"Red pública dentro de la vivienda (001)",29143,27836,1307
"Red pública fuera de la vivienda (002)",3162,2821,341
"Pilón de uso público (003)",1462,1014,448
"Camión - cisterna u otro similar (004)",2185,1271,914
"Pozo (005)",2945,1842,1103
"Río, acequia, manatial o similar (006)",5696,2165,3531
"Vecino (007)",1618,1061,557
"Otro (008)",671,271,400
,,,
"URBANA (010)",39726,35851,3875
"Red pública dentro de la vivienda (011)",28518,27499,1019
"Red pública fuera de la vivienda (012)",2886,2621,265
"Pilón de uso público (013)",1013,820,193
"Camión - cisterna u otro similar (014)",1915,1210,705
"Pozo (015)",1631,1391,240
"Río, acequia, manatial o similar (016)",1547,1002,545
"Vecino (017)",1586,1051,535
"Otro (018)",630,257,373
,,,
"RURAL (020)",7156,2430,4726
"Red pública dentro de la vivienda (021)",625,337,288
"Red pública fuera de la vivienda (022)",276,200,76
"Pilón de uso público (023)",449,194,255
"Camión - cisterna u otro similar (024)",270,61,209
"Pozo (025)",1314,451,863
"Río, acequia, manatial o similar (026)",4149,1163,2986
"Vecino (027)",32,10,22
"Otro (028)",41,14,27
