"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia PATAZ",,,,,,,,,
"Viviendas particulares (001)",331,206,65,16,30,2,,,12
"Ocupantes presentes (002)",1446,855,305,80,134,8,,,64
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",309,186,63,16,30,2,,,12
"Ocupantes presentes (005)",1379,793,300,80,134,8,,,64
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",3,3,,,,,,,
"Ocupantes presentes (008)",8,8,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",2,1,1,,,,,,
"Ocupantes presentes (011)",3,1,2,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",12,11,1,,,,,,
"Ocupantes presentes (014)",40,37,3,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",4,4,,,,,,,
"Ocupantes presentes (020)",12,12,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",1,1,,,,,,,
"Ocupantes presentes (023)",4,4,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",227,149,43,6,20,2,,,7
"Ocupantes presentes (029)",963,601,196,34,84,8,,,40
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",205,129,41,6,20,2,,,7
"Ocupantes presentes (032)",896,539,191,34,84,8,,,40
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",3,3,,,,,,,
"Ocupantes presentes (035)",8,8,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",2,1,1,,,,,,
"Ocupantes presentes (038)",3,1,2,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",12,11,1,,,,,,
"Ocupantes presentes (041)",40,37,3,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",4,4,,,,,,,
"Ocupantes presentes (047)",12,12,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,1,,,,,,,
"Ocupantes presentes (050)",4,4,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",104,57,22,10,10,,,,5
"Ocupantes presentes (056)",483,254,109,46,50,,,,24
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",104,57,22,10,10,,,,5
"Ocupantes presentes (059)",483,254,109,46,50,,,,24
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
