"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia TUMBES (000)",139811,2893,39683,38565,30343,20999,7328
"Jefe o Jefa (001)",35344,,21,5178,13352,12075,4718
"Esposa(o) / compañera(o) (002)",24151,,53,6129,10268,6324,1377
"Hijo(a) / hijastro(a) (003)",59700,1926,31839,20458,4360,1075,42
"Yerno / nuera (004)",2598,,33,1789,635,134,7
"Nieto(a) (005)",7959,772,5620,1461,98,8,
"Padres / suegros (006)",1086,,,,27,318,741
"Otro(a) pariente (007)",7328,180,1930,2761,1214,863,380
"Trabajador(a) del hogar (008)",135,,4,91,15,17,8
"Pensionistas (009)",203,,3,99,61,31,9
"Otro(a) no pariente (010)",1307,15,180,599,313,154,46
"Hombres (011)",70750,1479,20285,18975,15105,11053,3853
"Jefe o Jefa (012)",27413,,17,4080,10714,9349,3253
"Esposa(o) / compañera(o) (013)",1271,,34,322,474,325,116
"Hijo(a) / hijastro(a) (014)",31489,968,16257,11231,2447,571,15
"Yerno / nuera (015)",1149,,10,612,414,107,6
"Nieto(a) (016)",4188,411,2898,815,60,4,
"Padres / suegros (017)",344,,,,9,90,245
"Otro(a) pariente (018)",3979,90,986,1523,731,470,179
"Trabajador(a) del hogar (019)",14,,,8,2,2,2
"Pensionistas (020)",153,,1,66,50,27,9
"Otro(a) no pariente (021)",750,10,82,318,204,108,28
"Mujeres (022)",69061,1414,19398,19590,15238,9946,3475
"Jefe o Jefa (023)",7931,,4,1098,2638,2726,1465
"Esposa(o) / compañera(o) (024)",22880,,19,5807,9794,5999,1261
"Hijo(a) / hijastro(a) (025)",28211,958,15582,9227,1913,504,27
"Yerno / nuera (026)",1449,,23,1177,221,27,1
"Nieto(a) (027)",3771,361,2722,646,38,4,
"Padres / suegros (028)",742,,,,18,228,496
"Otro(a) pariente (029)",3349,90,944,1238,483,393,201
"Trabajador(a) del hogar (030)",121,,4,83,13,15,6
"Pensionistas (031)",50,,2,33,11,4,
"Otro(a) no pariente (032)",557,5,98,281,109,46,18
,,,,,,,
"URBANA (033)",128578,2656,36745,35408,28051,19242,6476
"Jefe o Jefa (034)",32534,,19,4833,12405,11123,4154
"Esposa(o) / compañera(o) (035)",22079,,50,5659,9472,5711,1187
"Hijo(a) / hijastro(a) (036)",54760,1779,29448,18562,3951,987,33
"Yerno / nuera (037)",2407,,31,1652,590,127,7
"Nieto(a) (038)",7368,695,5244,1333,89,7,
"Padres / suegros (039)",1015,,,,25,302,688
"Otro(a) pariente (040)",6850,167,1781,2614,1146,794,348
"Trabajador(a) del hogar (041)",132,,3,90,15,17,7
"Pensionistas (042)",197,,3,98,56,31,9
"Otro(a) no pariente (043)",1236,15,166,567,302,143,43
"Hombres (044)",64898,1362,18821,17345,13908,10114,3348
"Jefe o Jefa (045)",25228,,15,3821,9971,8597,2824
"Esposa(o) / compañera(o) (046)",1002,,31,283,359,246,83
"Hijo(a) / hijastro(a) (047)",28819,896,15072,10123,2196,523,9
"Yerno / nuera (048)",1083,,8,581,388,100,6
"Nieto(a) (049)",3874,369,2716,734,52,3,
"Padres / suegros (050)",320,,,,8,83,229
"Otro(a) pariente (051)",3711,87,902,1436,691,435,160
"Trabajador(a) del hogar (052)",12,,,7,2,2,1
"Pensionistas (053)",148,,1,65,46,27,9
"Otro(a) no pariente (054)",701,10,76,295,195,98,27
"Mujeres (055)",63680,1294,17924,18063,14143,9128,3128
"Jefe o Jefa (056)",7306,,4,1012,2434,2526,1330
"Esposa(o) / compañera(o) (057)",21077,,19,5376,9113,5465,1104
"Hijo(a) / hijastro(a) (058)",25941,883,14376,8439,1755,464,24
"Yerno / nuera (059)",1324,,23,1071,202,27,1
"Nieto(a) (060)",3494,326,2528,599,37,4,
"Padres / suegros (061)",695,,,,17,219,459
"Otro(a) pariente (062)",3139,80,879,1178,455,359,188
"Trabajador(a) del hogar (063)",120,,3,83,13,15,6
"Pensionistas (064)",49,,2,33,10,4,
"Otro(a) no pariente (065)",535,5,90,272,107,45,16
,,,,,,,
"RURAL (066)",11233,237,2938,3157,2292,1757,852
"Jefe o Jefa (067)",2810,,2,345,947,952,564
"Esposa(o) / compañera(o) (068)",2072,,3,470,796,613,190
"Hijo(a) / hijastro(a) (069)",4940,147,2391,1896,409,88,9
"Yerno / nuera (070)",191,,2,137,45,7,
"Nieto(a) (071)",591,77,376,128,9,1,
"Padres / suegros (072)",71,,,,2,16,53
"Otro(a) pariente (073)",478,13,149,147,68,69,32
"Trabajador(a) del hogar (074)",3,,1,1,,,1
"Pensionistas (075)",6,,,1,5,,
"Otro(a) no pariente (076)",71,,14,32,11,11,3
"Hombres (077)",5852,117,1464,1630,1197,939,505
"Jefe o Jefa (078)",2185,,2,259,743,752,429
"Esposa(o) / compañera(o) (079)",269,,3,39,115,79,33
"Hijo(a) / hijastro(a) (080)",2670,72,1185,1108,251,48,6
"Yerno / nuera (081)",66,,2,31,26,7,
"Nieto(a) (082)",314,42,182,81,8,1,
"Padres / suegros (083)",24,,,,1,7,16
"Otro(a) pariente (084)",268,3,84,87,40,35,19
"Trabajador(a) del hogar (085)",2,,,1,,,1
"Pensionistas (086)",5,,,1,4,,
"Otro(a) no pariente (087)",49,,6,23,9,10,1
"Mujeres (088)",5381,120,1474,1527,1095,818,347
"Jefe o Jefa (089)",625,,,86,204,200,135
"Esposa(o) / compañera(o) (090)",1803,,,431,681,534,157
"Hijo(a) / hijastro(a) (091)",2270,75,1206,788,158,40,3
"Yerno / nuera (092)",125,,,106,19,,
"Nieto(a) (093)",277,35,194,47,1,,
"Padres / suegros (094)",47,,,,1,9,37
"Otro(a) pariente (095)",210,10,65,60,28,34,13
