"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia HUARAL",,,,,,,,,
"Viviendas particulares (001)",24145,2216,1902,1322,2339,423,341,344,15258
"Ocupantes presentes (002)",101142,9190,7987,5506,9693,1791,1430,1479,64066
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",21487,1816,1640,1188,2092,369,303,292,13787
"Ocupantes presentes (005)",91464,7621,6989,4993,8792,1576,1307,1308,58878
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",708,18,57,44,63,16,15,14,481
"Ocupantes presentes (008)",2483,108,211,156,218,62,60,44,1624
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",743,33,72,27,82,20,6,19,484
"Ocupantes presentes (011)",2648,134,271,98,296,71,21,64,1693
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",623,28,69,46,79,16,13,19,353
"Ocupantes presentes (014)",2334,106,248,193,313,70,29,63,1312
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",3,,3,,,,,,
"Ocupantes presentes (017)",10,,10,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",530,319,59,12,16,2,1,,121
"Ocupantes presentes (020)",2067,1217,252,45,55,12,6,,480
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",50,2,1,5,7,,3,,32
"Ocupantes presentes (023)",131,4,1,21,19,,7,,79
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",1,,1,,,,,,
"Ocupantes presentes (026)",5,,5,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",23472,2202,1884,1316,2268,415,341,342,14704
"Ocupantes presentes (029)",98723,9145,7923,5488,9385,1753,1430,1468,62131
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",20820,1802,1625,1182,2021,361,303,290,13236
"Ocupantes presentes (032)",89059,7576,6935,4975,8484,1538,1307,1297,56947
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",708,18,57,44,63,16,15,14,481
"Ocupantes presentes (035)",2483,108,211,156,218,62,60,44,1624
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",743,33,72,27,82,20,6,19,484
"Ocupantes presentes (038)",2648,134,271,98,296,71,21,64,1693
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",623,28,69,46,79,16,13,19,353
"Ocupantes presentes (041)",2334,106,248,193,313,70,29,63,1312
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",530,319,59,12,16,2,1,,121
"Ocupantes presentes (047)",2067,1217,252,45,55,12,6,,480
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",47,2,1,5,7,,3,,29
"Ocupantes presentes (050)",127,4,1,21,19,,7,,75
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",1,,1,,,,,,
"Ocupantes presentes (053)",5,,5,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",673,14,18,6,71,8,,2,554
"Ocupantes presentes (056)",2419,45,64,18,308,38,,11,1935
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",667,14,15,6,71,8,,2,551
"Ocupantes presentes (059)",2405,45,54,18,308,38,,11,1931
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",3,,3,,,,,,
"Ocupantes presentes (071)",10,,10,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",3,,,,,,,,3
"Ocupantes presentes (077)",4,,,,,,,,4
"Otro tipo",,,,,,,,,
