"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia MORROPON (000)",71032,58787,12245
"De 3 a 5 años (001)",9832,792,9040
"De 6 a 11 años (002)",20255,18025,2230
"De 12 a 16 años (003)",20429,20122,307
"De 17 a 24 años (004)",20516,19848,668
"Hombres (005)",36571,30312,6259
"De 3 a 5 años (006)",4991,390,4601
"De 6 a 11 años (007)",10252,9060,1192
"De 12 a 16 años (008)",10641,10474,167
"De 17 a 24 años (009)",10687,10388,299
"Mujeres (010)",34461,28475,5986
"De 3 a 5 años (011)",4841,402,4439
"De 6 a 11 años (012)",10003,8965,1038
"De 12 a 16 años (013)",9788,9648,140
"De 17 a 24 años (014)",9829,9460,369
,,,
"URBANA (015)",39719,33818,5901
"De 3 a 5 años (016)",5205,565,4640
"De 6 a 11 años (017)",10938,10069,869
"De 12 a 16 años (018)",11249,11119,130
"De 17 a 24 años (019)",12327,12065,262
"Hombres (020)",20172,17175,2997
"De 3 a 5 años (021)",2623,279,2344
"De 6 a 11 años (022)",5560,5103,457
"De 12 a 16 años (023)",5760,5685,75
"De 17 a 24 años (024)",6229,6108,121
"Mujeres (025)",19547,16643,2904
"De 3 a 5 años (026)",2582,286,2296
"De 6 a 11 años (027)",5378,4966,412
"De 12 a 16 años (028)",5489,5434,55
"De 17 a 24 años (029)",6098,5957,141
,,,
"RURAL (030)",31313,24969,6344
"De 3 a 5 años (031)",4627,227,4400
"De 6 a 11 años (032)",9317,7956,1361
"De 12 a 16 años (033)",9180,9003,177
"De 17 a 24 años (034)",8189,7783,406
"Hombres (035)",16399,13137,3262
"De 3 a 5 años (036)",2368,111,2257
"De 6 a 11 años (037)",4692,3957,735
"De 12 a 16 años (038)",4881,4789,92
"De 17 a 24 años (039)",4458,4280,178
"Mujeres (040)",14914,11832,3082
"De 3 a 5 años (041)",2259,116,2143
"De 6 a 11 años (042)",4625,3999,626
"De 12 a 16 años (043)",4299,4214,85
"De 17 a 24 años (044)",3731,3503,228
