"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia BOLOGNESI (000)",11045,687,77,3528,3785,611,971,363,1023
"Empleado (001)",1938,16,3,140,397,153,427,144,658
"Obrero (002)",3155,138,41,895,1421,199,281,67,113
"Trabajador independiente (003)",4311,327,15,1816,1400,203,219,127,204
"Empleador o patrono (004)",117,3,1,20,54,8,7,8,16
"Trabajador familiar no remunerado (005)",1380,194,15,605,450,43,32,13,28
"Trabajador del hogar (006)",144,9,2,52,63,5,5,4,4
"Hombres (008)",7990,288,51,2476,3044,444,668,279,740
"Empleado (009)",1238,6,2,73,289,96,219,104,449
"Obrero (010)",2865,79,32,781,1350,183,269,61,110
"Trabajador independiente (011)",3084,140,8,1317,1089,134,149,98,149
"Empleador o patrono (012)",90,1,1,15,41,6,6,7,13
"Trabajador familiar no remunerado (013)",703,61,8,287,272,23,25,8,19
"Trabajador del hogar (014)",10,1,,3,3,2,,1,
"Mujeres (016)",3055,399,26,1052,741,167,303,84,283
"Empleado (017)",700,10,1,67,108,57,208,40,209
"Obrero (018)",290,59,9,114,71,16,12,6,3
"Trabajador independiente (019)",1227,187,7,499,311,69,70,29,55
"Empleador o patrono (020)",27,2,,5,13,2,1,1,3
"Trabajador familiar no remunerado (021)",677,133,7,318,178,20,7,5,9
"Trabajador del hogar (022)",134,8,2,49,60,3,5,3,4
,,,,,,,,,
"URBANA (024)",6645,309,51,1860,2311,440,679,257,738
"Empleado (025)",1444,13,2,108,293,114,344,115,455
"Obrero (026)",1825,87,25,520,841,112,126,38,76
"Trabajador independiente (027)",2635,144,14,971,908,168,180,81,169
"Empleador o patrono (028)",79,3,1,12,29,5,5,8,16
"Trabajador familiar no remunerado (029)",539,55,7,201,191,36,19,11,19
"Trabajador del hogar (030)",123,7,2,48,49,5,5,4,3
"Hombres (032)",4564,109,31,1228,1803,292,415,186,500
"Empleado (033)",848,3,1,53,204,64,163,81,279
"Obrero (034)",1624,49,19,448,791,96,115,33,73
"Trabajador independiente (035)",1793,49,8,634,692,110,118,58,124
"Empleador o patrono (036)",59,1,1,8,21,3,5,7,13
"Trabajador familiar no remunerado (037)",233,7,2,82,94,17,14,6,11
"Trabajador del hogar (038)",7,,,3,1,2,,1,
"Mujeres (040)",2081,200,20,632,508,148,264,71,238
"Empleado (041)",596,10,1,55,89,50,181,34,176
"Obrero (042)",201,38,6,72,50,16,11,5,3
"Trabajador independiente (043)",842,95,6,337,216,58,62,23,45
"Empleador o patrono (044)",20,2,,4,8,2,,1,3
"Trabajador familiar no remunerado (045)",306,48,5,119,97,19,5,5,8
"Trabajador del hogar (046)",116,7,2,45,48,3,5,3,3
,,,,,,,,,
"RURAL (048)",4400,378,26,1668,1474,171,292,106,285
"Empleado (049)",494,3,1,32,104,39,83,29,203
"Obrero (050)",1330,51,16,375,580,87,155,29,37
"Trabajador independiente (051)",1676,183,1,845,492,35,39,46,35
"Empleador o patrono (052)",38,,,8,25,3,2,,
"Trabajador familiar no remunerado (053)",841,139,8,404,259,7,13,2,9
"Trabajador del hogar (054)",21,2,,4,14,,,,1
"Hombres (056)",3426,179,20,1248,1241,152,253,93,240
"Empleado (057)",390,3,1,20,85,32,56,23,170
"Obrero (058)",1241,30,13,333,559,87,154,28,37
"Trabajador independiente (059)",1291,91,,683,397,24,31,40,25
"Empleador o patrono (060)",31,,,7,20,3,1,,
"Trabajador familiar no remunerado (061)",470,54,6,205,178,6,11,2,8
"Trabajador del hogar (062)",3,1,,,2,,,,
"Mujeres (064)",974,199,6,420,233,19,39,13,45
"Empleado (065)",104,,,12,19,7,27,6,33
"Obrero (066)",89,21,3,42,21,,1,1,
"Trabajador independiente (067)",385,92,1,162,95,11,8,6,10
"Empleador o patrono (068)",7,,,1,5,,1,,
"Trabajador familiar no remunerado (069)",371,85,2,199,81,1,2,,1
"Trabajador del hogar (070)",18,1,,4,12,,,,1
