"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CALCA (000)",31422,4725,9792,8387,8518
"Asiste actualmente (001)",21529,1837,9015,7518,3159
"No asiste (002)",9893,2888,777,869,5359
"Hombres (004)",16138,2425,4991,4353,4369
"Asiste actualmente (005)",11375,939,4606,3964,1866
"No asiste (006)",4763,1486,385,389,2503
"Mujeres (008)",15284,2300,4801,4034,4149
"Asiste actualmente (009)",10154,898,4409,3554,1293
"No asiste (010)",5130,1402,392,480,2856
,,,,,
"URBANA (012)",10839,1358,3080,3089,3312
"Asiste actualmente (013)",8327,697,2984,2974,1672
"No asiste (014)",2512,661,96,115,1640
"Hombres (016)",5512,705,1563,1551,1693
"Asiste actualmente (017)",4288,347,1511,1497,933
"No asiste (018)",1224,358,52,54,760
"Mujeres (020)",5327,653,1517,1538,1619
"Asiste actualmente (021)",4039,350,1473,1477,739
"No asiste (022)",1288,303,44,61,880
,,,,,
"RURAL (024)",20583,3367,6712,5298,5206
"Asiste actualmente (025)",13202,1140,6031,4544,1487
"No asiste (026)",7381,2227,681,754,3719
"Hombres (028)",10626,1720,3428,2802,2676
"Asiste actualmente (029)",7087,592,3095,2467,933
"No asiste (030)",3539,1128,333,335,1743
"Mujeres (032)",9957,1647,3284,2496,2530
"Asiste actualmente (033)",6115,548,2936,2077,554
"No asiste (034)",3842,1099,348,419,1976
