"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia MARISCAL CACERES",,,,,,,,
"Hogares (001)",12267,8223,5130,2114,446,2158,623,2495
"Ocupantes presentes (002)",50139,34385,21795,9015,1853,9085,2534,9270
"Casa independiente",,,,,,,,
"Hogares (004)",9642,6446,4697,1947,431,2059,582,1816
"Ocupantes presentes (005)",40192,27384,20243,8401,1800,8743,2421,6912
"Departamento en edificio",,,,,,,,
"Hogares (007)",51,31,39,18,4,20,15,8
"Ocupantes presentes (008)",157,99,126,60,13,63,40,22
"Vivienda en quinta",,,,,,,,
"Hogares (010)",411,228,245,75,8,57,20,87
"Ocupantes presentes (011)",1249,719,766,254,29,194,60,233
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",59,38,24,9,1,4,1,12
"Ocupantes presentes (014)",207,137,92,25,3,11,3,39
"Choza o cabaña",,,,,,,,
"Hogares (016)",2003,1422,92,58,,12,1,541
"Ocupantes presentes (017)",7967,5840,433,249,,53,3,1955
"Vivienda improvisada",,,,,,,,
"Hogares (019)",71,43,20,3,1,4,,23
"Ocupantes presentes (020)",271,164,93,17,6,15,,82
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",22,12,12,3,1,2,4,4
"Ocupantes presentes (023)",63,30,38,5,2,6,7,10
"Otro tipo",,,,,,,,
"Hogares (025)",8,3,1,1,,,,4
"Ocupantes presentes (026)",33,12,4,4,,,,17
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",7468,4956,4732,1873,444,2048,614,1111
"Ocupantes presentes (029)",30883,20946,20011,7922,1845,8594,2498,4122
"Casa independiente",,,,,,,,
"Hogares (031)",6854,4602,4392,1764,429,1961,574,979
"Ocupantes presentes (032)",28926,19788,18893,7557,1792,8305,2388,3738
"Departamento en edificio",,,,,,,,
"Hogares (034)",51,31,39,18,4,20,15,8
"Ocupantes presentes (035)",157,99,126,60,13,63,40,22
"Vivienda en quinta",,,,,,,,
"Hogares (037)",411,228,245,75,8,57,20,87
"Ocupantes presentes (038)",1249,719,766,254,29,194,60,233
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",59,38,24,9,1,4,1,12
"Ocupantes presentes (041)",207,137,92,25,3,11,3,39
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",71,43,20,3,1,4,,23
"Ocupantes presentes (047)",271,164,93,17,6,15,,82
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",19,12,11,3,1,2,4,2
"Ocupantes presentes (050)",60,30,37,5,2,6,7,8
"Otro tipo",,,,,,,,
"Hogares (052)",3,2,1,1,,,,
"Ocupantes presentes (053)",13,9,4,4,,,,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",4799,3267,398,241,2,110,9,1384
"Ocupantes presentes (056)",19256,13439,1784,1093,8,491,36,5148
"Casa independiente",,,,,,,,
"Hogares (058)",2788,1844,305,183,2,98,8,837
"Ocupantes presentes (059)",11266,7596,1350,844,8,438,33,3174
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",2003,1422,92,58,,12,1,541
"Ocupantes presentes (071)",7967,5840,433,249,,53,3,1955
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",3,,1,,,,,2
"Ocupantes presentes (077)",3,,1,,,,,2
"Otro tipo",,,,,,,,
"Hogares (079)",5,1,,,,,,4
"Ocupantes presentes (080)",20,3,,,,,,17
