"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHURCAMPA (000)",11107,169,4906,3342,918,287,115,39,9,,1322
"Conviviente (001)",2281,34,1128,633,151,48,11,4,1,,271
"Separado(a) (002)",498,11,231,143,54,18,5,2,,,34
"Casado(a) (003)",5879,85,2743,1909,492,142,65,21,4,,418
"Viudo(a) (004)",1578,24,610,524,159,53,26,9,4,,169
"Divorciado(a) (005)",67,,30,19,7,3,1,,,,7
"Soltero(a) (006)",804,15,164,114,55,23,7,3,,,423
,,,,,,,,,,,
"URBANA (008)",2586,37,1032,777,264,101,38,11,3,,323
"Conviviente (009)",679,5,288,210,66,22,4,4,1,,79
"Separado(a) (010)",168,6,73,50,24,4,3,1,,,7
"Casado(a) (011)",1138,14,462,372,123,50,22,5,1,,89
"Viudo(a) (012)",290,6,136,79,28,12,5,,1,,23
"Divorciado(a) (013)",21,,8,6,3,2,1,,,,1
"Soltero(a) (014)",290,6,65,60,20,11,3,1,,,124
,,,,,,,,,,,
"RURAL (016)",8521,132,3874,2565,654,186,77,28,6,,999
"Conviviente (017)",1602,29,840,423,85,26,7,,,,192
"Separado(a) (018)",330,5,158,93,30,14,2,1,,,27
"Casado(a) (019)",4741,71,2281,1537,369,92,43,16,3,,329
"Viudo(a) (020)",1288,18,474,445,131,41,21,9,3,,146
"Divorciado(a) (021)",46,,22,13,4,1,,,,,6
"Soltero(a) (022)",514,9,99,54,35,12,4,2,,,299
