"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia HUAURA (000)",55397,796,2062,4136,6818,11302,16009,14274
"De 12 a 14 años (001)",57,,,,,,3,54
"De 15 a 19 años (002)",1207,,,,,,689,518
"De 20 a 24 años (003)",5412,,,,,22,2902,2488
"De 25 a 29 años (004)",6731,,,,,402,3933,2396
"De 30 a 34 años (005)",6836,,,,1,1321,3720,1794
"De 35 a 39 años (006)",6505,,,,84,2371,2689,1361
"De 40 a 44 años (007)",5838,,,2,502,2763,1512,1059
"De 45 a 49 años (008)",4862,,,51,1127,2318,494,872
"De 50 y más años (009)",17949,796,2062,4083,5104,2105,67,3732
"PEA (010)",22142,55,232,945,2656,5796,6234,6224
"De 12 a 14 años (011)",3,,,,,,,3
"De 15 a 19 años (012)",265,,,,,,145,120
"De 20 a 24 años (013)",1880,,,,,6,830,1044
"De 25 a 29 años (014)",2864,,,,,221,1399,1244
"De 30 a 34 años (015)",3290,,,,1,707,1579,1003
"De 35 a 39 años (016)",3349,,,,44,1300,1254,751
"De 40 a 44 años (017)",3136,,,,296,1458,773,609
"De 45 a 49 años (018)",2490,,,27,561,1218,230,454
"De 50 y más años (019)",4865,55,232,918,1754,886,24,996
"Ocupada (020)",21339,55,229,936,2604,5634,5957,5924
"De 12 a 14 años (021)",3,,,,,,,3
"De 15 a 19 años (022)",240,,,,,,130,110
"De 20 a 24 años (023)",1711,,,,,5,766,940
"De 25 a 29 años (024)",2700,,,,,213,1316,1171
"De 30 a 34 años (025)",3155,,,,1,679,1519,956
"De 35 a 39 años (026)",3253,,,,44,1260,1217,732
"De 40 a 44 años (027)",3057,,,,286,1420,761,590
"De 45 a 49 años (028)",2437,,,27,550,1192,224,444
"De 50 y más años (029)",4783,55,229,909,1723,865,24,978
"Desocupada (030)",803,,3,9,52,162,277,300
"De 15 a 19 años (032)",25,,,,,,15,10
"De 20 a 24 años (033)",169,,,,,1,64,104
"De 25 a 29 años (034)",164,,,,,8,83,73
"De 30 a 34 años (035)",135,,,,,28,60,47
"De 35 a 39 años (036)",96,,,,,40,37,19
"De 40 a 44 años (037)",79,,,,10,38,12,19
"De 45 a 49 años (038)",53,,,,11,26,6,10
"De 50 y más años (039)",82,,3,9,31,21,,18
"No PEA (040)",33255,741,1830,3191,4162,5506,9775,8050
"De 12 a 14 años (041)",54,,,,,,3,51
"De 15 a 19 años (042)",942,,,,,,544,398
"De 20 a 24 años (043)",3532,,,,,16,2072,1444
"De 25 a 29 años (044)",3867,,,,,181,2534,1152
"De 30 a 34 años (045)",3546,,,,,614,2141,791
