"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia GRAU",,,,,,,
"Viviendas particulares (001)",6983,912,250,52,5442,154,173
"Ocupantes presentes (002)",24865,2873,936,194,19875,464,523
"Casa independiente",,,,,,,
"Viviendas particulares (004)",6589,867,249,50,5135,146,142
"Ocupantes presentes (005)",23647,2768,931,191,18883,449,425
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",17,14,,,3,,
"Ocupantes presentes (014)",55,37,,,18,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",367,28,1,2,300,5,31
"Ocupantes presentes (017)",1132,53,5,3,962,11,98
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",6,3,,,3,,
"Ocupantes presentes (020)",23,15,,,8,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",3,,,,,3,
"Ocupantes presentes (023)",4,,,,,4,
"Otro tipo",,,,,,,
"Viviendas particulares (025)",1,,,,1,,
"Ocupantes presentes (026)",4,,,,4,,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",2821,696,134,20,1835,54,82
"Ocupantes presentes (029)",9850,2215,508,69,6661,143,254
"Casa independiente",,,,,,,
"Viviendas particulares (031)",2796,679,134,20,1829,52,82
"Ocupantes presentes (032)",9770,2163,508,69,6635,141,254
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",17,14,,,3,,
"Ocupantes presentes (041)",55,37,,,18,,
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",6,3,,,3,,
"Ocupantes presentes (047)",23,15,,,8,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",2,,,,,2,
"Ocupantes presentes (050)",2,,,,,2,
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",4162,216,116,32,3607,100,91
"Ocupantes presentes (056)",15015,658,428,125,13214,321,269
"Casa independiente",,,,,,,
"Viviendas particulares (058)",3793,188,115,30,3306,94,60
"Ocupantes presentes (059)",13877,605,423,122,12248,308,171
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",367,28,1,2,300,5,31
"Ocupantes presentes (071)",1132,53,5,3,962,11,98
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",1,,,,,1,
"Ocupantes presentes (077)",2,,,,,2,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",1,,,,1,,
"Ocupantes presentes (080)",4,,,,4,,
