"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CHOTA (000)",47431,832,15410,15656,11243,4290
"Agric., ganadería, caza y silvicultura (001)",31579,621,10101,9435,7785,3637
"Explotación de minas y canteras (003)",338,,128,159,50,1
"Industrias manufactureras (004)",1659,22,647,570,326,94
"Suministro de electricidad, gas y agua (005)",48,,12,24,11,1
"Construcción (006)",954,5,277,384,262,26
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2414,39,652,931,610,182
"Venta, mant.y rep. veh.autom.y motoc. (008)",106,2,45,40,13,6
"Comercio al por mayor (009)",63,,18,21,20,4
"Comercio al por menor (010)",2245,37,589,870,577,172
"Hoteles y restaurantes (011)",603,20,229,171,148,35
"Trans., almac. y comunicaciones (012)",902,8,460,317,108,9
"Intermediación financiera (013)",23,,14,5,4,
"Activid.inmobil., empres. y alquileres (014)",422,1,163,172,80,6
"Admin.pub. y defensa; p. segur.soc afil (015)",810,,204,346,245,15
"Enseñanza (016)",2754,,453,1585,705,11
"Servicios sociales y de salud (017)",591,,158,311,115,7
"Otras activ. serv.comun.soc y personales (018)",399,7,136,139,99,18
"Hogares privados con servicio doméstico (019)",662,37,372,134,92,27
"Actividad economica no especificada (021)",1238,6,399,392,297,144
"Desocupado (022)",2035,66,1005,581,306,77
"Hombres (023)",37362,600,11909,12099,9054,3700
"Agric., ganadería, caza y silvicultura (024)",27885,488,8928,8294,6852,3323
"Explotación de minas y canteras (026)",321,,119,151,50,1
"Industrias manufactureras (027)",768,8,233,292,173,62
"Suministro de electricidad, gas y agua (028)",47,,11,24,11,1
"Construcción (029)",940,5,269,380,260,26
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1247,28,323,465,334,97
"Venta, mant.y rep. veh.autom.y motoc. (031)",97,1,40,37,13,6
"Comercio al por mayor (032)",45,,12,15,16,2
"Comercio al por menor (033)",1105,27,271,413,305,89
"Hoteles y restaurantes (034)",161,12,73,40,30,6
"Trans., almac. y comunicaciones (035)",856,8,429,311,99,9
"Intermediación financiera (036)",14,,10,2,2,
"Activid.inmobil., empres. y alquileres (037)",327,1,113,138,69,6
"Admin.pub. y defensa; p. segur.soc afil (038)",639,,142,268,214,15
"Enseñanza (039)",1585,,219,899,457,10
"Servicios sociales y de salud (040)",265,,69,132,57,7
"Otras activ. serv.comun.soc y personales (041)",224,5,69,80,61,9
