"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia TRUJILLO (000)",768445,74382,172336,51643,475619
"Sin Nivel (001)",62278,11460,11069,2587,37420
"Educación Inicial (002)",21761,5086,5139,1172,10545
"Primaria (003)",198302,28169,34920,8982,126977
"Secundaria (004)",239273,20974,42632,13694,162916
"Sup. no Univ. Incompleta (005)",43783,2293,7744,3303,30627
"Sup. no Univ. Completa (006)",63274,2401,20677,6356,34469
"Sup. Univ. Incompleta (007)",54254,1662,10532,5564,37006
"Sup. Univ. Completa (008)",85520,2337,39623,9985,35659
"Hombres (010)",370352,33478,81585,27821,230444
"Sin Nivel (011)",24387,5362,4621,1100,13423
"Educación Inicial (012)",11170,2652,2660,588,5365
"Primaria (013)",93585,13118,16465,4465,59931
"Secundaria (014)",123253,9070,21558,7817,85366
"Sup. no Univ. Incompleta (015)",21120,813,3844,1971,14600
"Sup. no Univ. Completa (016)",26539,761,8174,3383,14519
"Sup. Univ. Incompleta (017)",28384,711,5504,3035,19408
"Sup. Univ. Completa (018)",41914,991,18759,5462,17832
"Mujeres (020)",398093,40904,90751,23822,245175
"Sin Nivel (021)",37891,6098,6448,1487,23997
"Educación Inicial (022)",10591,2434,2479,584,5180
"Primaria (023)",104717,15051,18455,4517,67046
"Secundaria (024)",116020,11904,21074,5877,77550
"Sup. no Univ. Incompleta (025)",22663,1480,3900,1332,16027
"Sup. no Univ. Completa (026)",36735,1640,12503,2973,19950
"Sup. Univ. Incompleta (027)",25870,951,5028,2529,17598
"Sup. Univ. Completa (028)",43606,1346,20864,4523,17827
,,,,,
"URBANA (030)",750023,71194,169949,51154,463244
"Sin Nivel (031)",59640,10784,10801,2562,35751
"Educación Inicial (032)",21249,4881,5064,1165,10320
"Primaria (033)",190339,26619,34063,8848,121550
"Secundaria (034)",233752,20335,41820,13473,159062
"Sup. no Univ. Incompleta (035)",43268,2245,7682,3277,30248
"Sup. no Univ. Completa (036)",62669,2367,20515,6326,34088
"Sup. Univ. Incompleta (037)",53965,1641,10493,5546,36795
"Sup. Univ. Completa (038)",85141,2322,39511,9957,35430
"Hombres (040)",360828,31995,80307,27482,224012
"Sin Nivel (041)",23359,5049,4520,1090,12819
"Educación Inicial (042)",10927,2542,2623,586,5271
"Primaria (043)",89365,12394,15985,4383,56994
"Secundaria (044)",120135,8772,21088,7643,83186
"Sup. no Univ. Incompleta (045)",20868,799,3815,1948,14414
"Sup. no Univ. Completa (046)",26261,755,8092,3362,14350
"Sup. Univ. Incompleta (047)",28219,703,5477,3024,19289
"Sup. Univ. Completa (048)",41694,981,18707,5446,17689
"Mujeres (050)",389195,39199,89642,23672,239232
"Sin Nivel (051)",36281,5735,6281,1472,22932
"Educación Inicial (052)",10322,2339,2441,579,5049
"Primaria (053)",100974,14225,18078,4465,64556
"Secundaria (054)",113617,11563,20732,5830,75876
"Sup. no Univ. Incompleta (055)",22400,1446,3867,1329,15834
"Sup. no Univ. Completa (056)",36408,1612,12423,2964,19738
"Sup. Univ. Incompleta (057)",25746,938,5016,2522,17506
"Sup. Univ. Completa (058)",43447,1341,20804,4511,17741
,,,,,
"RURAL (060)",18422,3188,2387,489,12375
"Sin Nivel (061)",2638,676,268,25,1669
"Educación Inicial (062)",512,205,75,7,225
"Primaria (063)",7963,1550,857,134,5427
"Secundaria (064)",5521,639,812,221,3854
"Sup. no Univ. Incompleta (065)",515,48,62,26,379
"Sup. no Univ. Completa (066)",605,34,162,30,381
"Sup. Univ. Incompleta (067)",289,21,39,18,211
"Sup. Univ. Completa (068)",379,15,112,28,229
"Hombres (070)",9524,1483,1278,339,6432
"Sin Nivel (071)",1028,313,101,10,604
"Educación Inicial (072)",243,110,37,2,94
"Primaria (073)",4220,724,480,82,2937
"Secundaria (074)",3118,298,470,174,2180
"Sup. no Univ. Incompleta (075)",252,14,29,23,186
"Sup. no Univ. Completa (076)",278,6,82,21,169
"Sup. Univ. Incompleta (077)",165,8,27,11,119
"Sup. Univ. Completa (078)",220,10,52,16,143
"Mujeres (080)",8898,1705,1109,150,5943
"Sin Nivel (081)",1610,363,167,15,1065
"Educación Inicial (082)",269,95,38,5,131
"Primaria (083)",3743,826,377,52,2490
"Secundaria (084)",2403,341,342,47,1674
"Sup. no Univ. Incompleta (085)",263,34,33,3,193
"Sup. no Univ. Completa (086)",327,28,80,9,212
"Sup. Univ. Incompleta (087)",124,13,12,7,92
"Sup. Univ. Completa (088)",159,5,60,12,86
