"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LAURICOCHA (000)",31631,4556,691,14471,9468,705,717,375,648
"Jefe o Jefa (001)",7914,707,4,3508,2693,206,344,104,348
"Esposa(o)/ compa¤era(o) (002)",4721,594,5,2591,1246,76,105,30,74
"Hijo(a)/ hijastro(a) (003)",15202,2426,544,6733,4581,360,195,208,155
"Yerno/ nuera (004)",235,22,,67,114,8,11,3,10
"Nieto(a) (005)",1625,421,96,793,284,13,7,7,4
"Padres/ suegros (006)",285,134,,139,11,,1,,
"Otro(a) pariente (007)",1402,206,36,567,466,28,39,21,39
"Trabajador(a) del hogar (008)",39,14,1,13,8,1,2,,
"Pensionista (009)",3,,,,2,,,,1
"Otro(a) no pariente (010)",205,32,5,60,63,13,13,2,17
"Hombres (012)",15863,1904,331,6774,5393,423,404,209,425
"Jefe o Jefa (013)",5695,275,1,2465,2184,172,260,73,265
"Esposa(o)/ compa¤era(o) (014)",193,7,,77,71,14,11,3,10
"Hijo(a)/ hijastro(a) (015)",8026,1253,255,3408,2596,199,96,112,107
"Yerno/ nuera (016)",89,6,,20,46,5,4,3,5
"Nieto(a) (017)",854,224,58,403,152,7,5,4,1
"Padres/ suegros (018)",88,23,,59,5,,1,,
"Otro(a) pariente (019)",774,90,14,308,288,17,20,12,25
"Trabajador(a) del hogar (020)",14,8,,4,2,,,,
"Pensionista (021)",3,,,,2,,,,1
"Otro(a) no pariente (022)",127,18,3,30,47,9,7,2,11
"Mujeres (024)",15768,2652,360,7697,4075,282,313,166,223
"Jefe o Jefa (025)",2219,432,3,1043,509,34,84,31,83
"Esposa(o)/ compa¤era(o) (026)",4528,587,5,2514,1175,62,94,27,64
"Hijo(a)/ hijastro(a) (027)",7176,1173,289,3325,1985,161,99,96,48
"Yerno/ nuera (028)",146,16,,47,68,3,7,,5
"Nieto(a) (029)",771,197,38,390,132,6,2,3,3
"Padres/ suegros (030)",197,111,,80,6,,,,
"Otro(a) pariente (031)",628,116,22,259,178,11,19,9,14
"Trabajador(a) del hogar (032)",25,6,1,9,6,1,2,,
"Otro(a) no pariente (034)",78,14,2,30,16,4,6,,6
,,,,,,,,,
"URBANA (036)",7388,687,208,2873,2471,250,335,184,380
"Jefe o Jefa (037)",2057,113,3,718,710,89,175,45,204
"Esposa(o)/ compa¤era(o) (038)",1008,73,2,440,329,33,61,16,54
"Hijo(a)/ hijastro(a) (039)",3322,359,160,1309,1139,96,74,103,82
"Yerno/ nuera (040)",52,,,9,32,3,3,2,3
"Nieto(a) (041)",352,56,28,180,76,6,1,4,1
"Padres/ suegros (042)",69,28,,36,4,,1,,
"Otro(a) pariente (043)",438,49,12,156,151,17,13,14,26
"Trabajador(a) del hogar (044)",18,4,1,7,6,,,,
"Pensionista (045)",1,,,,,,,,1
"Otro(a) no pariente (046)",71,5,2,18,24,6,7,,9
"Hombres (048)",3653,286,94,1253,1366,143,177,91,243
"Jefe o Jefa (049)",1315,19,,410,510,69,118,30,159
