"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia OCROS (000)",8623,984,186,3779,2718,223,232,180,321
"Jefe o Jefa (001)",2559,209,1,1202,788,80,94,43,142
"Esposa(o)/ compa¤era(o) (002)",1411,174,,753,374,19,29,16,46
"Hijo(a)/ hijastro(a) (003)",3007,380,146,1186,1017,79,50,76,73
"Yerno/ nuera (004)",118,2,,34,59,3,7,5,8
"Nieto(a) (005)",404,84,27,167,105,5,3,9,4
"Padres/ suegros (006)",107,44,,56,6,,,,1
"Otro(a) pariente (007)",820,74,9,310,301,29,41,18,38
"Trabajador(a) del hogar (008)",10,3,1,4,2,,,,
"Pensionista (009)",3,,,2,,,,,1
"Otro(a) no pariente (010)",184,14,2,65,66,8,8,13,8
"Hombres (012)",4470,354,82,1878,1605,133,115,102,201
"Jefe o Jefa (013)",1853,68,1,858,658,60,58,35,115
"Esposa(o)/ compa¤era(o) (014)",96,11,,35,35,2,3,4,6
"Hijo(a)/ hijastro(a) (015)",1640,201,60,632,606,42,22,37,40
"Yerno/ nuera (016)",57,,,15,25,2,5,4,6
"Nieto(a) (017)",207,39,14,87,53,4,2,7,1
"Padres/ suegros (018)",20,1,,18,1,,,,
"Otro(a) pariente (019)",464,22,5,187,179,15,22,8,26
"Trabajador(a) del hogar (020)",4,1,1,1,1,,,,
"Pensionista (021)",3,,,2,,,,,1
"Otro(a) no pariente (022)",126,11,1,43,47,8,3,7,6
"Mujeres (024)",4153,630,104,1901,1113,90,117,78,120
"Jefe o Jefa (025)",706,141,,344,130,20,36,8,27
"Esposa(o)/ compa¤era(o) (026)",1315,163,,718,339,17,26,12,40
"Hijo(a)/ hijastro(a) (027)",1367,179,86,554,411,37,28,39,33
"Yerno/ nuera (028)",61,2,,19,34,1,2,1,2
"Nieto(a) (029)",197,45,13,80,52,1,1,2,3
"Padres/ suegros (030)",87,43,,38,5,,,,1
"Otro(a) pariente (031)",356,52,4,123,122,14,19,10,12
"Trabajador(a) del hogar (032)",6,2,,3,1,,,,
"Otro(a) no pariente (034)",58,3,1,22,19,,5,6,2
,,,,,,,,,
"URBANA (036)",4964,500,111,2118,1555,142,166,122,250
"Jefe o Jefa (037)",1457,98,1,637,463,54,61,31,112
"Esposa(o)/ compa¤era(o) (038)",763,83,,407,183,15,23,16,36
"Hijo(a)/ hijastro(a) (039)",1648,194,82,650,545,45,32,40,60
"Yerno/ nuera (040)",76,2,,16,42,3,4,4,5
"Nieto(a) (041)",248,45,19,102,66,4,2,6,4
"Padres/ suegros (042)",74,28,,41,4,,,,1
"Otro(a) pariente (043)",568,42,6,217,212,15,36,13,27
"Trabajador(a) del hogar (044)",7,1,1,3,2,,,,
"Otro(a) no pariente (046)",123,7,2,45,38,6,8,12,5
"Hombres (048)",2554,167,55,1010,931,89,79,71,152
"Jefe o Jefa (049)",1024,20,1,427,387,41,34,25,89
"Esposa(o)/ compa¤era(o) (050)",37,5,,11,11,2,3,4,1
