"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHOTA (000)",45396,39662,2408,1121,2205
"Agric., ganadería, caza y silvicultura (001)",31579,30590,814,103,72
"Explotación de minas y canteras (003)",338,41,24,55,218
"Industrias manufactureras (004)",1659,1551,82,17,9
"Suministro de electricidad, gas y agua (005)",48,3,,41,4
"Construcción (006)",954,582,138,97,137
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2414,2311,71,26,6
"Venta, mant.y rep. veh.autom y motoc. (008)",106,96,8,1,1
"Comercio al por mayor (009)",63,50,4,4,5
"Comercio al por menor (010)",2245,2165,59,21,
"Hoteles y restaurantes (011)",603,538,41,4,20
"Trans., almac. y comunicaciones (012)",902,774,46,46,36
"Intermediación financiera (013)",23,8,6,1,8
"Activid.inmobil., empres. y alquileres (014)",422,156,49,64,153
"Admin.pub. y defensa; p. segur soc.afil (015)",810,,,,810
"Enseñanza (016)",2754,891,990,551,322
"Servicios sociales y de salud (017)",591,179,27,23,362
"Otras activ. serv.comun.soc y personales (018)",399,284,57,33,25
"Hogares privados con servicio doméstico (019)",662,662,,,
"Actividad economica no especificada (021)",1238,1092,63,60,23
"Hombres (022)",35719,31486,1798,795,1640
"Agric., ganadería, caza y silvicultura (023)",27885,27007,714,96,68
"Explotación de minas y canteras (025)",321,40,23,52,206
"Industrias manufactureras (026)",768,686,65,10,7
"Suministro de electricidad, gas y agua (027)",47,3,,40,4
"Construcción (028)",940,575,136,94,135
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1247,1179,48,14,6
"Venta, mant.y rep. veh.autom y motoc. (030)",97,88,7,1,1
"Comercio al por mayor (031)",45,32,4,4,5
"Comercio al por menor (032)",1105,1059,37,9,
"Hoteles y restaurantes (033)",161,126,18,2,15
"Trans., almac. y comunicaciones (034)",856,741,39,42,34
"Intermediación financiera (035)",14,5,3,,6
"Activid.inmobil., empres. y alquileres (036)",327,114,34,48,131
"Admin.pub. y defensa; p. segur soc.afil (037)",639,,,,639
"Enseñanza (038)",1585,429,624,325,207
"Servicios sociales y de salud (039)",265,95,12,13,145
"Otras activ. serv.comun.soc y personales (040)",224,140,47,19,18
"Hogares privados con servicio doméstico (041)",36,36,,,
"Actividad economica no especificada (043)",404,310,35,40,19
"Mujeres (044)",9677,8176,610,326,565
