"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ALTO AMAZONAS (000)",80,71,9
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",41,38,3
"Casa pensión (003)",6,6,
"Hospital, clinica (004)",5,4,1
"Cárcel, centro de readaptación social (005)",2,2,
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",18,15,3
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",7,5,2
