"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TOCACHE (000)",30224,683,10866,10774,6747,1154
"Empleado (001)",4894,22,1984,2089,765,34
"Obrero (002)",5927,103,2803,1897,1008,116
"Trabajador independiente (003)",14341,96,3705,5492,4185,863
"Empleador o patrono (004)",731,1,151,313,227,39
"Trabajador familiar no remunerado (005)",2958,383,1555,610,344,66
"Trabajador del hogar (006)",635,39,301,180,99,16
"Desocupado (008)",738,39,367,193,119,20
"Hombres (009)",23625,504,8651,8164,5344,962
"Empleado (010)",3317,13,1342,1381,558,23
"Obrero (011)",5396,94,2602,1691,903,106
"Trabajador independiente (012)",11877,72,3112,4445,3485,763
"Empleador o patrono (013)",607,,131,256,189,31
"Trabajador familiar no remunerado (014)",1803,296,1177,219,91,20
"Trabajador del hogar (015)",32,2,12,8,9,1
"Desocupado (017)",593,27,275,164,109,18
"Mujeres (018)",6599,179,2215,2610,1403,192
"Empleado (019)",1577,9,642,708,207,11
"Obrero (020)",531,9,201,206,105,10
"Trabajador independiente (021)",2464,24,593,1047,700,100
"Empleador o patrono (022)",124,1,20,57,38,8
"Trabajador familiar no remunerado (023)",1155,87,378,391,253,46
"Trabajador del hogar (024)",603,37,289,172,90,15
"Desocupado (026)",145,12,92,29,10,2
,,,,,,
"URBANA (027)",15501,322,5321,5782,3563,513
"Empleado (028)",4308,19,1767,1820,672,30
"Obrero (029)",2324,53,974,736,506,55
"Trabajador independiente (030)",6500,50,1606,2545,1951,348
"Empleador o patrono (031)",384,1,69,173,120,21
"Trabajador familiar no remunerado (032)",1115,163,472,280,166,34
"Trabajador del hogar (033)",439,24,215,120,70,10
"Desocupado (035)",431,12,218,108,78,15
"Hombres (036)",10990,217,3861,3915,2594,403
"Empleado (037)",2928,12,1205,1201,488,22
"Obrero (038)",2065,48,884,635,448,50
"Trabajador independiente (039)",4757,32,1214,1763,1459,289
"Empleador o patrono (040)",290,,58,125,91,16
"Trabajador familiar no remunerado (041)",596,115,334,100,35,12
"Trabajador del hogar (042)",23,2,9,6,5,1
"Desocupado (044)",331,8,157,85,68,13
"Mujeres (045)",4511,105,1460,1867,969,110
"Empleado (046)",1380,7,562,619,184,8
"Obrero (047)",259,5,90,101,58,5
"Trabajador independiente (048)",1743,18,392,782,492,59
"Empleador o patrono (049)",94,1,11,48,29,5
"Trabajador familiar no remunerado (050)",519,48,138,180,131,22
"Trabajador del hogar (051)",416,22,206,114,65,9
"Desocupado (053)",100,4,61,23,10,2
,,,,,,
"RURAL (054)",14723,361,5545,4992,3184,641
"Empleado (055)",586,3,217,269,93,4
"Obrero (056)",3603,50,1829,1161,502,61
"Trabajador independiente (057)",7841,46,2099,2947,2234,515
"Empleador o patrono (058)",347,,82,140,107,18
"Trabajador familiar no remunerado (059)",1843,220,1083,330,178,32
"Trabajador del hogar (060)",196,15,86,60,29,6
"Desocupado (062)",307,27,149,85,41,5
"Hombres (063)",12635,287,4790,4249,2750,559
"Empleado (064)",389,1,137,180,70,1
"Obrero (065)",3331,46,1718,1056,455,56
"Trabajador independiente (066)",7120,40,1898,2682,2026,474
"Empleador o patrono (067)",317,,73,131,98,15
"Trabajador familiar no remunerado (068)",1207,181,843,119,56,8
"Trabajador del hogar (069)",9,,3,2,4,
"Desocupado (071)",262,19,118,79,41,5
"Mujeres (072)",2088,74,755,743,434,82
"Empleado (073)",197,2,80,89,23,3
"Obrero (074)",272,4,111,105,47,5
"Trabajador independiente (075)",721,6,201,265,208,41
"Empleador o patrono (076)",30,,9,9,9,3
"Trabajador familiar no remunerado (077)",636,39,240,211,122,24
"Trabajador del hogar (078)",187,15,83,58,25,6
"Desocupado (080)",45,8,31,6,,
