"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHINCHEROS (000)",258,256,2
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",40,40,
"Hospital, clinica (004)",29,29,
"Cárcel, centro de readaptación social (005)",9,9,
"Otro (008)",70,69,1
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",110,109,1
