"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia HUACAYBAMBA (000)",4433,2005,2428
"Red pública dentro de la vivienda (001)",1072,676,396
"Red pública fuera de la vivienda (002)",778,458,320
"Pilón de uso público (003)",51,28,23
"Camión - cisterna u otro similar (004)",2,2,
"Pozo (005)",262,71,191
"Río, acequia, manatial o similar (006)",2077,684,1393
"Vecino (007)",165,83,82
"Otro (008)",26,3,23
,,,
"URBANA (010)",852,703,149
"Red pública dentro de la vivienda (011)",158,152,6
"Red pública fuera de la vivienda (012)",88,78,10
"Pilón de uso público (013)",9,5,4
"Pozo (015)",26,14,12
"Río, acequia, manatial o similar (016)",534,436,98
"Vecino (017)",35,16,19
"Otro (018)",2,2,
,,,
"RURAL (020)",3581,1302,2279
"Red pública dentro de la vivienda (021)",914,524,390
"Red pública fuera de la vivienda (022)",690,380,310
"Pilón de uso público (023)",42,23,19
"Camión - cisterna u otro similar (024)",2,2,
"Pozo (025)",236,57,179
"Río, acequia, manatial o similar (026)",1543,248,1295
"Vecino (027)",130,67,63
"Otro (028)",24,1,23
