"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia CARAVELI",,,,,,,,,
"Viviendas particulares (001)",9386,3026,2573,1888,937,454,207,122,179
"Ocupantes presentes (002)",32412,8495,9162,7117,3725,1790,842,460,821
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",8331,2237,2400,1823,917,447,207,121,179
"Ocupantes presentes (005)",29352,6421,8588,6823,3655,1748,842,454,821
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",4,1,,1,2,,,,
"Ocupantes presentes (008)",7,1,,2,4,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",74,45,13,8,5,2,,1,
"Ocupantes presentes (011)",242,119,49,49,12,7,,6,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",115,84,10,12,5,4,,,
"Ocupantes presentes (014)",388,232,41,63,23,29,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",687,536,116,31,3,1,,,
"Ocupantes presentes (017)",1832,1323,374,115,14,6,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",136,92,29,10,5,,,,
"Ocupantes presentes (020)",469,303,97,52,17,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",26,18,5,3,,,,,
"Ocupantes presentes (023)",89,63,13,13,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",13,13,,,,,,,
"Ocupantes presentes (026)",33,33,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",6019,1438,1654,1385,740,366,176,106,154
"Ocupantes presentes (029)",21984,4407,6054,5242,2949,1479,713,413,727
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",5657,1191,1597,1351,723,360,176,105,154
"Ocupantes presentes (032)",20768,3668,5854,5063,2893,1443,713,407,727
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",4,1,,1,2,,,,
"Ocupantes presentes (035)",7,1,,2,4,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",74,45,13,8,5,2,,1,
"Ocupantes presentes (038)",242,119,49,49,12,7,,6,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",115,84,10,12,5,4,,,
"Ocupantes presentes (041)",388,232,41,63,23,29,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",136,92,29,10,5,,,,
"Ocupantes presentes (047)",469,303,97,52,17,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",25,17,5,3,,,,,
"Ocupantes presentes (050)",86,60,13,13,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",8,8,,,,,,,
"Ocupantes presentes (053)",24,24,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",3367,1588,919,503,197,88,31,16,25
"Ocupantes presentes (056)",10428,4088,3108,1875,776,311,129,47,94
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",2674,1046,803,472,194,87,31,16,25
"Ocupantes presentes (059)",8584,2753,2734,1760,762,305,129,47,94
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",687,536,116,31,3,1,,,
"Ocupantes presentes (071)",1832,1323,374,115,14,6,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,1,,,,,,,
"Ocupantes presentes (077)",3,3,,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",5,5,,,,,,,
"Ocupantes presentes (080)",9,9,,,,,,,
