"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LAMAS (000)",73351,10724,1611,41905,15714,892,1234,467,804
"Quechua (001)",3655,1388,48,1897,269,16,14,10,13
"Aymara (002)",24,7,1,12,1,1,1,,1
"Ashaninca (003)",10,3,,5,2,,,,
"Otra lengua nativa (004)",153,75,,75,3,,,,
"Castellano (005)",69368,9154,1557,39886,15434,874,1219,457,787
"Idioma extranjero (006)",5,,,,1,1,,,3
"Es sordomudo/a (007)",136,97,5,30,4,,,,
"Hombres (009)",38564,4037,805,22530,9290,501,652,267,482
"Quechua (010)",1754,385,21,1129,180,10,12,5,12
"Aymara (011)",11,1,,8,,1,,,1
"Ashaninca (012)",5,2,,2,1,,,,
"Otra lengua nativa (013)",79,28,,48,3,,,,
"Castellano (014)",36649,3575,783,21329,9102,490,640,262,468
"Idioma extranjero (015)",2,,,,1,,,,1
"Es sordomudo/a (016)",64,46,1,14,3,,,,
"Mujeres (018)",34787,6687,806,19375,6424,391,582,200,322
"Quechua (019)",1901,1003,27,768,89,6,2,5,1
"Aymara (020)",13,6,1,4,1,,1,,
"Ashaninca (021)",5,1,,3,1,,,,
"Otra lengua nativa (022)",74,47,,27,,,,,
"Castellano (023)",32719,5579,774,18557,6332,384,579,195,319
"Idioma extranjero (024)",3,,,,,1,,,2
"Es sordomudo/a (025)",72,51,4,16,1,,,,
,,,,,,,,,
"URBANA (027)",35509,3792,845,17599,10270,751,1102,415,735
"Quechua (028)",829,352,10,342,81,14,12,9,9
"Aymara (029)",18,5,1,9,1,,1,,1
"Ashaninca (030)",5,2,,1,2,,,,
"Otra lengua nativa (031)",2,,,1,1,,,,
"Castellano (032)",34598,3399,832,17234,10180,736,1089,406,722
"Idioma extranjero (033)",5,,,,1,1,,,3
"Es sordomudo/a (034)",52,34,2,12,4,,,,
"Hombres (036)",18183,1381,420,8975,5752,419,572,228,436
"Quechua (037)",384,75,5,220,51,9,10,5,9
"Aymara (038)",7,,,6,,,,,1
"Ashaninca (039)",3,1,,1,1,,,,
"Otra lengua nativa (040)",2,,,1,1,,,,
"Castellano (041)",17761,1288,415,8743,5695,410,562,223,425
"Idioma extranjero (042)",2,,,,1,,,,1
"Es sordomudo/a (043)",24,17,,4,3,,,,
"Mujeres (045)",17326,2411,425,8624,4518,332,530,187,299
"Quechua (046)",445,277,5,122,30,5,2,4,
"Aymara (047)",11,5,1,3,1,,1,,
"Ashaninca (048)",2,1,,,1,,,,
"Castellano (050)",16837,2111,417,8491,4485,326,527,183,297
"Idioma extranjero (051)",3,,,,,1,,,2
"Es sordomudo/a (052)",28,17,2,8,1,,,,
,,,,,,,,,
"RURAL (054)",37842,6932,766,24306,5444,141,132,52,69
"Quechua (055)",2826,1036,38,1555,188,2,2,1,4
"Aymara (056)",6,2,,3,,1,,,
"Ashaninca (057)",5,1,,4,,,,,
"Otra lengua nativa (058)",151,75,,74,2,,,,
"Castellano (059)",34770,5755,725,22652,5254,138,130,51,65
"Es sordomudo/a (061)",84,63,3,18,,,,,
"Hombres (063)",20381,2656,385,13555,3538,82,80,39,46
"Quechua (064)",1370,310,16,909,129,1,2,,3
"Aymara (065)",4,1,,2,,1,,,
"Ashaninca (066)",2,1,,1,,,,,
"Otra lengua nativa (067)",77,28,,47,2,,,,
"Castellano (068)",18888,2287,368,12586,3407,80,78,39,43
"Es sordomudo/a (070)",40,29,1,10,,,,,
"Mujeres (072)",17461,4276,381,10751,1906,59,52,13,23
"Quechua (073)",1456,726,22,646,59,1,,1,1
"Aymara (074)",2,1,,1,,,,,
"Ashaninca (075)",3,,,3,,,,,
"Otra lengua nativa (076)",74,47,,27,,,,,
"Castellano (077)",15882,3468,357,10066,1847,58,52,12,22
"Es sordomudo/a (079)",44,34,2,8,,,,,
