"CUADRO Nº 7: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PADECIMIENTO DE ALGUNA DIFICULTAD O LIMITACIÓN FÍSICA O MENTAL PERMANENTE DE ALGÚN MIEMBRO DEL HOGAR, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISCAPACIDAD FÍSICA O MENTAL",,,,,"NINGUNA PERSONA CON DISCAPACIDAD"
,,"PARA VER, AÚN USANDO LENTES","PARA OÍR, AÚN USANDO AUDÍ-FONOS PARA SORDERA","PARA HABLAR (ENTONAR / VOCALIZAR)","PARA USAR BRAZOS Y MANOS / PIERNAS Y PIES","ALGUNA OTRA DIFICULTAD O LIMITACIÓN",
,,,,,,,
"Provincia CONTUMAZA",,,,,,,
"Hogares (001)",8258,399,116,126,172,186,7375
"Ocupantes presentes (002)",31042,1447,441,572,679,803,27567
"Casa independiente",,,,,,,
"Hogares (004)",7790,384,106,116,162,178,6949
"Ocupantes presentes (005)",29128,1398,394,510,636,766,25830
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Hogares (010)",28,3,1,,,,25
"Ocupantes presentes (011)",95,10,3,,,,85
"Vivienda en casa de vecindad",,,,,,,
"Hogares (013)",10,1,,,,,9
"Ocupantes presentes (014)",31,2,,,,,29
"Choza o cabaña",,,,,,,
"Hogares (016)",426,11,9,10,10,8,388
"Ocupantes presentes (017)",1775,37,44,62,43,37,1610
"Vivienda improvisada",,,,,,,
"Hogares (019)",2,,,,,,2
"Ocupantes presentes (020)",8,,,,,,8
"Local no dest.para hab. humana",,,,,,,
"Hogares (022)",1,,,,,,1
"Ocupantes presentes (023)",1,,,,,,1
"Otro tipo",,,,,,,
"Hogares (025)",1,,,,,,1
"Ocupantes presentes (026)",4,,,,,,4
,,,,,,,
URBANA,,,,,,,
"Hogares (028)",3546,248,46,51,98,88,3084
"Ocupantes presentes (029)",13000,845,179,236,385,414,11214
"Casa independiente",,,,,,,
"Hogares (031)",3504,244,45,51,98,88,3046
"Ocupantes presentes (032)",12861,833,176,236,385,414,11087
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Hogares (037)",28,3,1,,,,25
"Ocupantes presentes (038)",95,10,3,,,,85
"Vivienda en casa de vecindad",,,,,,,
"Hogares (040)",10,1,,,,,9
"Ocupantes presentes (041)",31,2,,,,,29
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Hogares (046)",2,,,,,,2
"Ocupantes presentes (047)",8,,,,,,8
"Local no dest.para hab. humana",,,,,,,
"Hogares (049)",1,,,,,,1
"Ocupantes presentes (050)",1,,,,,,1
"Otro tipo",,,,,,,
"Hogares (052)",1,,,,,,1
"Ocupantes presentes (053)",4,,,,,,4
,,,,,,,
RURAL,,,,,,,
"Hogares (055)",4712,151,70,75,74,98,4291
"Ocupantes presentes (056)",18042,602,262,336,294,389,16353
"Casa independiente",,,,,,,
"Hogares (058)",4286,140,61,65,64,90,3903
"Ocupantes presentes (059)",16267,565,218,274,251,352,14743
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Hogares (070)",426,11,9,10,10,8,388
"Ocupantes presentes (071)",1775,37,44,62,43,37,1610
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Otro tipo",,,,,,,
